92,1D ,4,21-Jun-2019 16:24:35.490624,Booster
93,E2 ,5,21-Jun-2019 16:24:35.623624,Recycler
94,13 ,2,21-Jun-2019 16:24:35.690624,Booster
95,1D ,4,21-Jun-2019 16:24:35.757624,Booster
96,1D ,4,21-Jun-2019 16:24:35.823624,Booster
97,1D ,4,21-Jun-2019 16:24:35.890624,Booster
98,1D ,4,21-Jun-2019 16:24:35.957624,Booster
99,20 ,23,21-Jun-2019 16:24:36.023624,MI
100,12 ,1,21-Jun-2019 16:24:36.423624,Booster
101,1D ,4,21-Jun-2019 16:24:36.490624,Booster
102,1D ,4,21-Jun-2019 16:24:36.557624,Booster
103,1D ,4,21-Jun-2019 16:24:36.623624,Booster
104,12 ,1,21-Jun-2019 16:24:36.690624,Booster
105,1D ,4,21-Jun-2019 16:24:36.757624,Booster
106,1D ,4,21-Jun-2019 16:24:36.823624,Booster
107,1D ,4,21-Jun-2019 16:24:36.890624,Booster
108,1D ,4,21-Jun-2019 16:24:36.957624,Booster
109,1D ,4,21-Jun-2019 16:24:37.023624,Booster
110,E0 ,2,21-Jun-2019 16:24:38.090624,Recycler
111,19 ,2,21-Jun-2019 16:24:38.157624,Booster
112,1D ,4,21-Jun-2019 16:24:38.223624,Booster
113,1D ,4,21-Jun-2019 16:24:38.290624,Booster
114,1D ,4,21-Jun-2019 16:24:38.357624,Booster
115,1D ,4,21-Jun-2019 16:24:38.423624,Booster
116,12 ,1,21-Jun-2019 16:24:38.890624,Booster
117,1D ,4,21-Jun-2019 16:24:38.957624,Booster
118,1D ,4,21-Jun-2019 16:24:39.023624,Booster
119,1D ,4,21-Jun-2019 16:24:39.090624,Booster
120,1D ,4,21-Jun-2019 16:24:39.157624,Booster
121,1D ,4,21-Jun-2019 16:24:39.223624,Booster
122,12 ,1,21-Jun-2019 16:24:39.357624,Booster
123,1D ,4,21-Jun-2019 16:24:39.423624,Booster
124,1D ,4,21-Jun-2019 16:24:39.490624,Booster
125,1D ,4,21-Jun-2019 16:24:39.557624,Booster
126,1D ,4,21-Jun-2019 16:24:39.623624,Booster
127,1D ,4,21-Jun-2019 16:24:39.690624,Booster
128,12 ,1,21-Jun-2019 16:24:40.090624,Booster
129,1D ,4,21-Jun-2019 16:24:40.157624,Booster
130,1D ,4,21-Jun-2019 16:24:40.223624,Booster
131,1D ,4,21-Jun-2019 16:24:40.290624,Booster
132,1D ,4,21-Jun-2019 16:24:40.357624,Booster
133,1D ,4,21-Jun-2019 16:24:40.423624,Booster
134,1D ,4,21-Jun-2019 16:24:40.490624,Booster
135,1D ,4,21-Jun-2019 16:24:40.557624,Booster
136,1D ,4,21-Jun-2019 16:24:40.623624,Booster
137,E3 ,6,21-Jun-2019 16:24:40.757624,Recycler
