,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:28:36.178644,Booster
1,E3 ,6,21-Jun-2019 15:28:36.178644,Recycler
2,A5 ,2,21-Jun-2019 15:28:36.178644,NuMI
3,15 ,2,21-Jun-2019 15:28:36.245343,Booster
4,15 ,2,21-Jun-2019 15:28:36.311944,Booster
5,15 ,2,21-Jun-2019 15:28:36.378644,Booster
6,15 ,2,21-Jun-2019 15:28:36.445344,Booster
7,15 ,2,21-Jun-2019 15:28:36.511944,Booster
8,15 ,2,21-Jun-2019 15:28:36.578644,Booster
9,15 ,2,21-Jun-2019 15:28:36.645344,Booster
10,15 ,2,21-Jun-2019 15:28:36.711944,Booster
11,15 ,2,21-Jun-2019 15:28:36.778644,Booster
12,15 ,2,21-Jun-2019 15:28:36.845344,Booster
13,15 ,2,21-Jun-2019 15:28:36.911944,Booster
14,15 ,2,21-Jun-2019 15:28:36.978644,Booster
15,2A ,9,21-Jun-2019 15:28:36.978644,MI
16,AE ,2,21-Jun-2019 15:28:36.978644,NuMI
17,1D ,4,21-Jun-2019 15:28:37.045344,Booster
18,93 ,1,21-Jun-2019 15:28:37.045344,Accumulator
19,E9 ,20,21-Jun-2019 15:28:37.045344,Recycler
20,1C ,2,21-Jun-2019 15:28:37.111944,Booster
21,1C ,2,21-Jun-2019 15:28:37.178644,Booster
22,12 ,1,21-Jun-2019 15:28:37.245644,Booster
23,17 ,5,21-Jun-2019 15:28:37.311644,Booster
24,94 ,1,21-Jun-2019 15:28:37.311644,Accumulator
25,E9 ,20,21-Jun-2019 15:28:37.311644,Recycler
26,1C ,2,21-Jun-2019 15:28:37.378644,Booster
27,1C ,2,21-Jun-2019 15:28:37.445644,Booster
28,1D ,4,21-Jun-2019 15:28:37.511644,Booster
29,32 ,1,21-Jun-2019 15:28:37.511644,Switchyard
30,1D ,4,21-Jun-2019 15:28:37.578644,Booster
31,E3 ,6,21-Jun-2019 15:28:37.578644,Recycler
32,A5 ,2,21-Jun-2019 15:28:37.578644,NuMI
33,15 ,2,21-Jun-2019 15:28:37.645644,Booster
34,15 ,2,21-Jun-2019 15:28:37.711644,Booster
35,15 ,2,21-Jun-2019 15:28:37.778644,Booster
36,15 ,2,21-Jun-2019 15:28:37.845644,Booster
37,15 ,2,21-Jun-2019 15:28:37.911644,Booster
38,15 ,2,21-Jun-2019 15:28:37.978644,Booster
39,15 ,2,21-Jun-2019 15:28:38.045644,Booster
40,15 ,2,21-Jun-2019 15:28:38.111644,Booster
41,15 ,2,21-Jun-2019 15:28:38.178644,Booster
42,15 ,2,21-Jun-2019 15:28:38.245644,Booster
43,15 ,2,21-Jun-2019 15:28:38.311644,Booster
44,15 ,2,21-Jun-2019 15:28:38.378644,Booster
45,2A ,9,21-Jun-2019 15:28:38.378644,MI
46,AE ,2,21-Jun-2019 15:28:38.378644,NuMI
47,1D ,4,21-Jun-2019 15:28:38.445644,Booster
48,93 ,1,21-Jun-2019 15:28:38.445644,Accumulator
49,E9 ,20,21-Jun-2019 15:28:38.445644,Recycler
50,1C ,2,21-Jun-2019 15:28:38.511644,Booster
51,1C ,2,21-Jun-2019 15:28:38.578644,Booster
52,1D ,4,21-Jun-2019 15:28:38.645644,Booster
53,1D ,4,21-Jun-2019 15:28:38.711644,Booster
54,94 ,1,21-Jun-2019 15:28:38.711644,Accumulator
55,E9 ,20,21-Jun-2019 15:28:38.711644,Recycler
56,1C ,2,21-Jun-2019 15:28:38.778644,Booster
57,1C ,2,21-Jun-2019 15:28:38.845644,Booster
58,1D ,4,21-Jun-2019 15:28:38.911644,Booster
59,1D ,4,21-Jun-2019 15:28:38.978644,Booster
60,E3 ,6,21-Jun-2019 15:28:38.978644,Recycler
61,A5 ,2,21-Jun-2019 15:28:38.978644,NuMI
62,15 ,2,21-Jun-2019 15:28:39.045644,Booster
63,15 ,2,21-Jun-2019 15:28:39.111644,Booster
64,15 ,2,21-Jun-2019 15:28:39.178644,Booster
65,15 ,2,21-Jun-2019 15:28:39.245644,Booster
66,15 ,2,21-Jun-2019 15:28:39.311644,Booster
67,15 ,2,21-Jun-2019 15:28:39.378644,Booster
68,15 ,2,21-Jun-2019 15:28:39.445644,Booster
69,15 ,2,21-Jun-2019 15:28:39.511644,Booster
70,15 ,2,21-Jun-2019 15:28:39.578644,Booster
71,15 ,2,21-Jun-2019 15:28:39.645644,Booster
72,15 ,2,21-Jun-2019 15:28:39.711644,Booster
73,15 ,2,21-Jun-2019 15:28:39.778644,Booster
74,2A ,9,21-Jun-2019 15:28:39.778644,MI
75,AE ,2,21-Jun-2019 15:28:39.778644,NuMI
76,1D ,4,21-Jun-2019 15:28:39.845644,Booster
77,93 ,1,21-Jun-2019 15:28:39.845644,Accumulator
78,E9 ,20,21-Jun-2019 15:28:39.845644,Recycler
79,1C ,2,21-Jun-2019 15:28:39.911644,Booster
80,1C ,2,21-Jun-2019 15:28:39.978644,Booster
81,1D ,4,21-Jun-2019 15:28:40.045644,Booster
82,1D ,4,21-Jun-2019 15:28:40.111644,Booster
83,94 ,1,21-Jun-2019 15:28:40.111644,Accumulator
84,E9 ,20,21-Jun-2019 15:28:40.111644,Recycler
85,1C ,2,21-Jun-2019 15:28:40.178644,Booster
86,1C ,2,21-Jun-2019 15:28:40.245644,Booster
87,1D ,4,21-Jun-2019 15:28:40.311644,Booster
88,1D ,4,21-Jun-2019 15:28:40.378644,Booster
89,1D ,4,21-Jun-2019 15:28:40.445644,Booster
90,1D ,4,21-Jun-2019 15:28:40.511644,Booster
91,30 ,1,21-Jun-2019 15:28:40.511644,Accumulator
92,1D ,4,21-Jun-2019 15:28:40.578644,Booster
93,E2 ,5,21-Jun-2019 15:28:40.711644,Recycler
94,13 ,2,21-Jun-2019 15:28:40.778644,Booster
95,1D ,4,21-Jun-2019 15:28:40.845644,Booster
96,1D ,4,21-Jun-2019 15:28:40.911644,Booster
97,1D ,4,21-Jun-2019 15:28:40.978644,Booster
98,1D ,4,21-Jun-2019 15:28:41.045644,Booster
99,20 ,23,21-Jun-2019 15:28:41.111644,MI
100,12 ,1,21-Jun-2019 15:28:41.511644,Booster
101,1D ,4,21-Jun-2019 15:28:41.578644,Booster
102,1D ,4,21-Jun-2019 15:28:41.645644,Booster
103,1D ,4,21-Jun-2019 15:28:41.711644,Booster
104,12 ,1,21-Jun-2019 15:28:41.778644,Booster
105,1D ,4,21-Jun-2019 15:28:41.845644,Booster
106,1D ,4,21-Jun-2019 15:28:41.911644,Booster
107,1D ,4,21-Jun-2019 15:28:41.978644,Booster
108,1D ,4,21-Jun-2019 15:28:42.045644,Booster
109,1D ,4,21-Jun-2019 15:28:42.111644,Booster
110,E0 ,2,21-Jun-2019 15:28:43.178644,Recycler
111,19 ,2,21-Jun-2019 15:28:43.245644,Booster
112,1D ,4,21-Jun-2019 15:28:43.311644,Booster
113,1D ,4,21-Jun-2019 15:28:43.378644,Booster
114,1D ,4,21-Jun-2019 15:28:43.445644,Booster
115,1D ,4,21-Jun-2019 15:28:43.511644,Booster
116,12 ,1,21-Jun-2019 15:28:43.978644,Booster
117,1D ,4,21-Jun-2019 15:28:44.045644,Booster
118,1D ,4,21-Jun-2019 15:28:44.111644,Booster
119,1D ,4,21-Jun-2019 15:28:44.178644,Booster
120,1D ,4,21-Jun-2019 15:28:44.245644,Booster
121,1D ,4,21-Jun-2019 15:28:44.311644,Booster
122,12 ,1,21-Jun-2019 15:28:44.445644,Booster
123,1D ,4,21-Jun-2019 15:28:44.511644,Booster
124,1D ,4,21-Jun-2019 15:28:44.578644,Booster
125,1D ,4,21-Jun-2019 15:28:44.645644,Booster
126,1D ,4,21-Jun-2019 15:28:44.711644,Booster
127,1D ,4,21-Jun-2019 15:28:44.778644,Booster
128,12 ,1,21-Jun-2019 15:28:45.178644,Booster
129,1D ,4,21-Jun-2019 15:28:45.245644,Booster
130,1D ,4,21-Jun-2019 15:28:45.311644,Booster
131,1D ,4,21-Jun-2019 15:28:45.378644,Booster
132,1D ,4,21-Jun-2019 15:28:45.445644,Booster
133,1D ,4,21-Jun-2019 15:28:45.511644,Booster
134,1D ,4,21-Jun-2019 15:28:45.578644,Booster
135,1D ,4,21-Jun-2019 15:28:45.645644,Booster
136,1D ,4,21-Jun-2019 15:28:45.711644,Booster
137,E3 ,6,21-Jun-2019 15:28:45.845644,Recycler
138,A5 ,2,21-Jun-2019 15:28:45.845644,NuMI
139,15 ,2,21-Jun-2019 15:28:45.911644,Booster
140,15 ,2,21-Jun-2019 15:28:45.978644,Booster
141,15 ,2,21-Jun-2019 15:28:46.045644,Booster
142,15 ,2,21-Jun-2019 15:28:46.111644,Booster
143,15 ,2,21-Jun-2019 15:28:46.178644,Booster
144,15 ,2,21-Jun-2019 15:28:46.248644,Booster
145,15 ,2,21-Jun-2019 15:28:46.308644,Booster
146,15 ,2,21-Jun-2019 15:28:46.378644,Booster
147,15 ,2,21-Jun-2019 15:28:46.448644,Booster
148,15 ,2,21-Jun-2019 15:28:46.508644,Booster
149,15 ,2,21-Jun-2019 15:28:46.578644,Booster
150,15 ,2,21-Jun-2019 15:28:46.648644,Booster
151,2A ,9,21-Jun-2019 15:28:46.648644,MI
152,AE ,2,21-Jun-2019 15:28:46.648644,NuMI
153,1D ,4,21-Jun-2019 15:28:46.708644,Booster
154,1D ,4,21-Jun-2019 15:28:46.778644,Booster
155,1D ,4,21-Jun-2019 15:28:46.848644,Booster
156,1D ,4,21-Jun-2019 15:28:46.908644,Booster
157,1D ,4,21-Jun-2019 15:28:46.978644,Booster
158,1D ,4,21-Jun-2019 15:28:47.048644,Booster
159,1D ,4,21-Jun-2019 15:28:47.108644,Booster
160,1D ,4,21-Jun-2019 15:28:47.178644,Booster
161,1D ,4,21-Jun-2019 15:28:47.248644,Booster
162,E3 ,6,21-Jun-2019 15:28:47.248644,Recycler
163,A5 ,2,21-Jun-2019 15:28:47.248644,NuMI
164,15 ,2,21-Jun-2019 15:28:47.308644,Booster
165,15 ,2,21-Jun-2019 15:28:47.378644,Booster
166,15 ,2,21-Jun-2019 15:28:47.448644,Booster
167,15 ,2,21-Jun-2019 15:28:47.508644,Booster
168,15 ,2,21-Jun-2019 15:28:47.578644,Booster
169,15 ,2,21-Jun-2019 15:28:47.648644,Booster
170,15 ,2,21-Jun-2019 15:28:47.708644,Booster
171,15 ,2,21-Jun-2019 15:28:47.778644,Booster
172,15 ,2,21-Jun-2019 15:28:47.848644,Booster
173,15 ,2,21-Jun-2019 15:28:47.908644,Booster
174,15 ,2,21-Jun-2019 15:28:47.978644,Booster
175,15 ,2,21-Jun-2019 15:28:48.048644,Booster
176,2A ,9,21-Jun-2019 15:28:48.048644,MI
177,AE ,2,21-Jun-2019 15:28:48.048644,NuMI
178,12 ,1,21-Jun-2019 15:28:48.108644,Booster
179,17 ,5,21-Jun-2019 15:28:48.178644,Booster
180,1D ,4,21-Jun-2019 15:28:48.248644,Booster
181,1D ,4,21-Jun-2019 15:28:48.308644,Booster
182,1D ,4,21-Jun-2019 15:28:48.378644,Booster
183,1D ,4,21-Jun-2019 15:28:48.448644,Booster
184,1D ,4,21-Jun-2019 15:28:48.508644,Booster
185,1D ,4,21-Jun-2019 15:28:48.578644,Booster
186,1D ,4,21-Jun-2019 15:28:48.648644,Booster
187,E3 ,6,21-Jun-2019 15:28:48.648644,Recycler
188,A5 ,2,21-Jun-2019 15:28:48.648644,NuMI
189,15 ,2,21-Jun-2019 15:28:48.708644,Booster
190,15 ,2,21-Jun-2019 15:28:48.778644,Booster
191,15 ,2,21-Jun-2019 15:28:48.848644,Booster
192,15 ,2,21-Jun-2019 15:28:48.908644,Booster
193,15 ,2,21-Jun-2019 15:28:48.978644,Booster
194,15 ,2,21-Jun-2019 15:28:49.048644,Booster
195,15 ,2,21-Jun-2019 15:28:49.108644,Booster
196,15 ,2,21-Jun-2019 15:28:49.178644,Booster
197,15 ,2,21-Jun-2019 15:28:49.248644,Booster
198,15 ,2,21-Jun-2019 15:28:49.308644,Booster
199,15 ,2,21-Jun-2019 15:28:49.378644,Booster
200,15 ,2,21-Jun-2019 15:28:49.448644,Booster
201,2A ,9,21-Jun-2019 15:28:49.448644,MI
202,AE ,2,21-Jun-2019 15:28:49.448644,NuMI
203,1D ,4,21-Jun-2019 15:28:49.508644,Booster
204,1D ,4,21-Jun-2019 15:28:49.578644,Booster
205,1D ,4,21-Jun-2019 15:28:49.648644,Booster
206,1D ,4,21-Jun-2019 15:28:49.708644,Booster
