,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:01:09.082607,Booster
1,E3 ,6,21-Jun-2019 15:01:09.082607,Recycler
2,A5 ,2,21-Jun-2019 15:01:09.082607,NuMI
3,15 ,2,21-Jun-2019 15:01:09.149306,Booster
4,15 ,2,21-Jun-2019 15:01:09.215907,Booster
5,15 ,2,21-Jun-2019 15:01:09.282607,Booster
6,15 ,2,21-Jun-2019 15:01:09.349307,Booster
7,15 ,2,21-Jun-2019 15:01:09.415907,Booster
8,15 ,2,21-Jun-2019 15:01:09.482607,Booster
9,15 ,2,21-Jun-2019 15:01:09.549307,Booster
10,15 ,2,21-Jun-2019 15:01:09.615907,Booster
11,15 ,2,21-Jun-2019 15:01:09.682607,Booster
12,15 ,2,21-Jun-2019 15:01:09.749307,Booster
13,15 ,2,21-Jun-2019 15:01:09.815907,Booster
14,15 ,2,21-Jun-2019 15:01:09.882607,Booster
15,2A ,9,21-Jun-2019 15:01:09.882607,MI
16,AE ,2,21-Jun-2019 15:01:09.882607,NuMI
17,1D ,4,21-Jun-2019 15:01:09.949307,Booster
18,93 ,1,21-Jun-2019 15:01:09.949307,Accumulator
19,E9 ,20,21-Jun-2019 15:01:09.949307,Recycler
20,1C ,2,21-Jun-2019 15:01:10.015907,Booster
21,1C ,2,21-Jun-2019 15:01:10.082607,Booster
22,12 ,1,21-Jun-2019 15:01:10.149607,Booster
23,17 ,5,21-Jun-2019 15:01:10.215607,Booster
24,94 ,1,21-Jun-2019 15:01:10.215607,Accumulator
25,E9 ,20,21-Jun-2019 15:01:10.215607,Recycler
26,1C ,2,21-Jun-2019 15:01:10.282607,Booster
27,1C ,2,21-Jun-2019 15:01:10.349607,Booster
28,1D ,4,21-Jun-2019 15:01:10.415607,Booster
29,32 ,1,21-Jun-2019 15:01:10.415607,Switchyard
30,1D ,4,21-Jun-2019 15:01:10.482607,Booster
31,E3 ,6,21-Jun-2019 15:01:10.482607,Recycler
32,A5 ,2,21-Jun-2019 15:01:10.482607,NuMI
33,15 ,2,21-Jun-2019 15:01:10.549607,Booster
34,15 ,2,21-Jun-2019 15:01:10.615607,Booster
35,15 ,2,21-Jun-2019 15:01:10.682607,Booster
36,15 ,2,21-Jun-2019 15:01:10.749607,Booster
37,15 ,2,21-Jun-2019 15:01:10.815607,Booster
38,15 ,2,21-Jun-2019 15:01:10.882607,Booster
39,15 ,2,21-Jun-2019 15:01:10.949607,Booster
40,15 ,2,21-Jun-2019 15:01:11.015607,Booster
41,15 ,2,21-Jun-2019 15:01:11.082607,Booster
42,15 ,2,21-Jun-2019 15:01:11.149607,Booster
43,15 ,2,21-Jun-2019 15:01:11.215607,Booster
44,15 ,2,21-Jun-2019 15:01:11.282607,Booster
45,2A ,9,21-Jun-2019 15:01:11.282607,MI
46,AE ,2,21-Jun-2019 15:01:11.282607,NuMI
47,1D ,4,21-Jun-2019 15:01:11.349607,Booster
48,93 ,1,21-Jun-2019 15:01:11.349607,Accumulator
49,E9 ,20,21-Jun-2019 15:01:11.349607,Recycler
50,1C ,2,21-Jun-2019 15:01:11.415607,Booster
51,1C ,2,21-Jun-2019 15:01:11.482607,Booster
52,1D ,4,21-Jun-2019 15:01:11.549607,Booster
53,1D ,4,21-Jun-2019 15:01:11.615607,Booster
54,94 ,1,21-Jun-2019 15:01:11.615607,Accumulator
55,E9 ,20,21-Jun-2019 15:01:11.615607,Recycler
56,1C ,2,21-Jun-2019 15:01:11.682607,Booster
57,1C ,2,21-Jun-2019 15:01:11.749607,Booster
58,1D ,4,21-Jun-2019 15:01:11.815607,Booster
59,1D ,4,21-Jun-2019 15:01:11.882607,Booster
60,E3 ,6,21-Jun-2019 15:01:11.882607,Recycler
61,A5 ,2,21-Jun-2019 15:01:11.882607,NuMI
62,15 ,2,21-Jun-2019 15:01:11.949607,Booster
63,15 ,2,21-Jun-2019 15:01:12.015607,Booster
64,15 ,2,21-Jun-2019 15:01:12.082607,Booster
65,15 ,2,21-Jun-2019 15:01:12.149607,Booster
66,15 ,2,21-Jun-2019 15:01:12.215607,Booster
