,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 16:22:29.213353,Booster
1,E3 ,6,21-Jun-2019 16:22:29.213353,Recycler
2,A5 ,2,21-Jun-2019 16:22:29.213353,NuMI
3,15 ,2,21-Jun-2019 16:22:29.280052,Booster
4,15 ,2,21-Jun-2019 16:22:29.346653,Booster
5,15 ,2,21-Jun-2019 16:22:29.413353,Booster
6,15 ,2,21-Jun-2019 16:22:29.480053,Booster
7,15 ,2,21-Jun-2019 16:22:29.546653,Booster
8,15 ,2,21-Jun-2019 16:22:29.613353,Booster
9,15 ,2,21-Jun-2019 16:22:29.680053,Booster
10,15 ,2,21-Jun-2019 16:22:29.746653,Booster
11,15 ,2,21-Jun-2019 16:22:29.813353,Booster
12,15 ,2,21-Jun-2019 16:22:29.880053,Booster
13,15 ,2,21-Jun-2019 16:22:29.946653,Booster
14,15 ,2,21-Jun-2019 16:22:30.013353,Booster
15,2A ,9,21-Jun-2019 16:22:30.013353,MI
16,AE ,2,21-Jun-2019 16:22:30.013353,NuMI
17,1D ,4,21-Jun-2019 16:22:30.080053,Booster
18,93 ,1,21-Jun-2019 16:22:30.080053,Accumulator
19,E9 ,20,21-Jun-2019 16:22:30.080053,Recycler
20,1C ,2,21-Jun-2019 16:22:30.146653,Booster
21,1C ,2,21-Jun-2019 16:22:30.213353,Booster
22,12 ,1,21-Jun-2019 16:22:30.280353,Booster
23,17 ,5,21-Jun-2019 16:22:30.346353,Booster
24,94 ,1,21-Jun-2019 16:22:30.346353,Accumulator
25,E9 ,20,21-Jun-2019 16:22:30.346353,Recycler
26,1C ,2,21-Jun-2019 16:22:30.413353,Booster
27,1C ,2,21-Jun-2019 16:22:30.480353,Booster
28,1D ,4,21-Jun-2019 16:22:30.546353,Booster
29,32 ,1,21-Jun-2019 16:22:30.546353,Switchyard
30,1D ,4,21-Jun-2019 16:22:30.613353,Booster
31,E3 ,6,21-Jun-2019 16:22:30.613353,Recycler
32,A5 ,2,21-Jun-2019 16:22:30.613353,NuMI
33,15 ,2,21-Jun-2019 16:22:30.680353,Booster
34,15 ,2,21-Jun-2019 16:22:30.746353,Booster
35,15 ,2,21-Jun-2019 16:22:30.813353,Booster
36,15 ,2,21-Jun-2019 16:22:30.880353,Booster
37,15 ,2,21-Jun-2019 16:22:30.946353,Booster
38,15 ,2,21-Jun-2019 16:22:31.013353,Booster
39,15 ,2,21-Jun-2019 16:22:31.080353,Booster
40,15 ,2,21-Jun-2019 16:22:31.146353,Booster
41,15 ,2,21-Jun-2019 16:22:31.213353,Booster
42,15 ,2,21-Jun-2019 16:22:31.280353,Booster
43,15 ,2,21-Jun-2019 16:22:31.346353,Booster
44,15 ,2,21-Jun-2019 16:22:31.413353,Booster
45,2A ,9,21-Jun-2019 16:22:31.413353,MI
46,AE ,2,21-Jun-2019 16:22:31.413353,NuMI
47,1D ,4,21-Jun-2019 16:22:31.480353,Booster
48,93 ,1,21-Jun-2019 16:22:31.480353,Accumulator
49,E9 ,20,21-Jun-2019 16:22:31.480353,Recycler
50,1C ,2,21-Jun-2019 16:22:31.546353,Booster
51,1C ,2,21-Jun-2019 16:22:31.613353,Booster
52,1D ,4,21-Jun-2019 16:22:31.680353,Booster
53,1D ,4,21-Jun-2019 16:22:31.746353,Booster
54,94 ,1,21-Jun-2019 16:22:31.746353,Accumulator
55,E9 ,20,21-Jun-2019 16:22:31.746353,Recycler
56,1C ,2,21-Jun-2019 16:22:31.813353,Booster
57,1C ,2,21-Jun-2019 16:22:31.880353,Booster
58,1D ,4,21-Jun-2019 16:22:31.946353,Booster
59,1D ,4,21-Jun-2019 16:22:32.013353,Booster
60,E3 ,6,21-Jun-2019 16:22:32.013353,Recycler
61,A5 ,2,21-Jun-2019 16:22:32.013353,NuMI
62,15 ,2,21-Jun-2019 16:22:32.080353,Booster
63,15 ,2,21-Jun-2019 16:22:32.146353,Booster
64,15 ,2,21-Jun-2019 16:22:32.213353,Booster
65,15 ,2,21-Jun-2019 16:22:32.280353,Booster
66,15 ,2,21-Jun-2019 16:22:32.346353,Booster
67,15 ,2,21-Jun-2019 16:22:32.413353,Booster
68,15 ,2,21-Jun-2019 16:22:32.480353,Booster
69,15 ,2,21-Jun-2019 16:22:32.546353,Booster
70,15 ,2,21-Jun-2019 16:22:32.613353,Booster
71,15 ,2,21-Jun-2019 16:22:32.680353,Booster
72,15 ,2,21-Jun-2019 16:22:32.746353,Booster
73,15 ,2,21-Jun-2019 16:22:32.813353,Booster
74,2A ,9,21-Jun-2019 16:22:32.813353,MI
75,AE ,2,21-Jun-2019 16:22:32.813353,NuMI
76,1D ,4,21-Jun-2019 16:22:32.880353,Booster
77,93 ,1,21-Jun-2019 16:22:32.880353,Accumulator
78,E9 ,20,21-Jun-2019 16:22:32.880353,Recycler
79,1C ,2,21-Jun-2019 16:22:32.946353,Booster
80,1C ,2,21-Jun-2019 16:22:33.013353,Booster
81,1D ,4,21-Jun-2019 16:22:33.080353,Booster
82,1D ,4,21-Jun-2019 16:22:33.146353,Booster
83,94 ,1,21-Jun-2019 16:22:33.146353,Accumulator
84,E9 ,20,21-Jun-2019 16:22:33.146353,Recycler
85,1C ,2,21-Jun-2019 16:22:33.213353,Booster
86,1C ,2,21-Jun-2019 16:22:33.280353,Booster
87,1D ,4,21-Jun-2019 16:22:33.346353,Booster
88,1D ,4,21-Jun-2019 16:22:33.413353,Booster
89,1D ,4,21-Jun-2019 16:22:33.480353,Booster
90,1D ,4,21-Jun-2019 16:22:33.546353,Booster
91,30 ,1,21-Jun-2019 16:22:33.546353,Accumulator
92,1D ,4,21-Jun-2019 16:22:33.613353,Booster
93,E2 ,5,21-Jun-2019 16:22:33.746353,Recycler
94,13 ,2,21-Jun-2019 16:22:33.813353,Booster
95,1D ,4,21-Jun-2019 16:22:33.880353,Booster
96,1D ,4,21-Jun-2019 16:22:33.946353,Booster
97,1D ,4,21-Jun-2019 16:22:34.013353,Booster
98,1D ,4,21-Jun-2019 16:22:34.080353,Booster
99,20 ,23,21-Jun-2019 16:22:34.146353,MI
100,12 ,1,21-Jun-2019 16:22:34.546353,Booster
101,1D ,4,21-Jun-2019 16:22:34.613353,Booster
102,1D ,4,21-Jun-2019 16:22:34.680353,Booster
103,1D ,4,21-Jun-2019 16:22:34.746353,Booster
104,12 ,1,21-Jun-2019 16:22:34.813353,Booster
105,1D ,4,21-Jun-2019 16:22:34.880353,Booster
106,1D ,4,21-Jun-2019 16:22:34.946353,Booster
107,1D ,4,21-Jun-2019 16:22:35.013353,Booster
108,1D ,4,21-Jun-2019 16:22:35.080353,Booster
109,1D ,4,21-Jun-2019 16:22:35.146353,Booster
110,E0 ,2,21-Jun-2019 16:22:36.213353,Recycler
111,19 ,2,21-Jun-2019 16:22:36.280353,Booster
112,1D ,4,21-Jun-2019 16:22:36.346353,Booster
113,1D ,4,21-Jun-2019 16:22:36.413353,Booster
114,1D ,4,21-Jun-2019 16:22:36.480353,Booster
115,1D ,4,21-Jun-2019 16:22:36.546353,Booster
116,12 ,1,21-Jun-2019 16:22:37.013353,Booster
117,1D ,4,21-Jun-2019 16:22:37.080353,Booster
118,1D ,4,21-Jun-2019 16:22:37.146353,Booster
119,1D ,4,21-Jun-2019 16:22:37.213353,Booster
120,1D ,4,21-Jun-2019 16:22:37.280353,Booster
121,1D ,4,21-Jun-2019 16:22:37.346353,Booster
122,12 ,1,21-Jun-2019 16:22:37.480353,Booster
123,1D ,4,21-Jun-2019 16:22:37.546353,Booster
124,1D ,4,21-Jun-2019 16:22:37.613353,Booster
125,1D ,4,21-Jun-2019 16:22:37.680353,Booster
126,1D ,4,21-Jun-2019 16:22:37.746353,Booster
127,1D ,4,21-Jun-2019 16:22:37.813353,Booster
128,12 ,1,21-Jun-2019 16:22:38.213353,Booster
129,1D ,4,21-Jun-2019 16:22:38.280353,Booster
130,1D ,4,21-Jun-2019 16:22:38.346353,Booster
131,1D ,4,21-Jun-2019 16:22:38.413353,Booster
132,1D ,4,21-Jun-2019 16:22:38.480353,Booster
133,1D ,4,21-Jun-2019 16:22:38.546353,Booster
134,1D ,4,21-Jun-2019 16:22:38.613353,Booster
135,1D ,4,21-Jun-2019 16:22:38.680353,Booster
136,1D ,4,21-Jun-2019 16:22:38.746353,Booster
137,E3 ,6,21-Jun-2019 16:22:38.880353,Recycler
138,A5 ,2,21-Jun-2019 16:22:38.880353,NuMI
139,15 ,2,21-Jun-2019 16:22:38.946353,Booster
140,15 ,2,21-Jun-2019 16:22:39.013353,Booster
141,15 ,2,21-Jun-2019 16:22:39.080353,Booster
142,15 ,2,21-Jun-2019 16:22:39.146353,Booster
143,15 ,2,21-Jun-2019 16:22:39.213353,Booster
144,15 ,2,21-Jun-2019 16:22:39.283353,Booster
145,15 ,2,21-Jun-2019 16:22:39.343353,Booster
146,15 ,2,21-Jun-2019 16:22:39.413353,Booster
147,15 ,2,21-Jun-2019 16:22:39.483353,Booster
148,15 ,2,21-Jun-2019 16:22:39.543353,Booster
149,15 ,2,21-Jun-2019 16:22:39.613353,Booster
150,15 ,2,21-Jun-2019 16:22:39.683353,Booster
151,2A ,9,21-Jun-2019 16:22:39.683353,MI
152,AE ,2,21-Jun-2019 16:22:39.683353,NuMI
153,1D ,4,21-Jun-2019 16:22:39.743353,Booster
154,1D ,4,21-Jun-2019 16:22:39.813353,Booster
155,1D ,4,21-Jun-2019 16:22:39.883353,Booster
156,1D ,4,21-Jun-2019 16:22:39.943353,Booster
157,1D ,4,21-Jun-2019 16:22:40.013353,Booster
158,1D ,4,21-Jun-2019 16:22:40.083353,Booster
159,1D ,4,21-Jun-2019 16:22:40.143353,Booster
160,1D ,4,21-Jun-2019 16:22:40.213353,Booster
161,1D ,4,21-Jun-2019 16:22:40.283353,Booster
162,E3 ,6,21-Jun-2019 16:22:40.283353,Recycler
163,A5 ,2,21-Jun-2019 16:22:40.283353,NuMI
164,15 ,2,21-Jun-2019 16:22:40.343353,Booster
165,15 ,2,21-Jun-2019 16:22:40.413353,Booster
166,15 ,2,21-Jun-2019 16:22:40.483353,Booster
167,15 ,2,21-Jun-2019 16:22:40.543353,Booster
168,15 ,2,21-Jun-2019 16:22:40.613353,Booster
169,15 ,2,21-Jun-2019 16:22:40.683353,Booster
170,15 ,2,21-Jun-2019 16:22:40.743353,Booster
171,15 ,2,21-Jun-2019 16:22:40.813353,Booster
172,15 ,2,21-Jun-2019 16:22:40.883353,Booster
173,15 ,2,21-Jun-2019 16:22:40.943353,Booster
174,15 ,2,21-Jun-2019 16:22:41.013353,Booster
175,15 ,2,21-Jun-2019 16:22:41.083353,Booster
176,2A ,9,21-Jun-2019 16:22:41.083353,MI
177,AE ,2,21-Jun-2019 16:22:41.083353,NuMI
178,12 ,1,21-Jun-2019 16:22:41.143353,Booster
179,17 ,5,21-Jun-2019 16:22:41.213353,Booster
180,1D ,4,21-Jun-2019 16:22:41.283353,Booster
181,1D ,4,21-Jun-2019 16:22:41.343353,Booster
182,1D ,4,21-Jun-2019 16:22:41.413353,Booster
183,1D ,4,21-Jun-2019 16:22:41.483353,Booster
184,1D ,4,21-Jun-2019 16:22:41.543353,Booster
185,1D ,4,21-Jun-2019 16:22:41.613353,Booster
186,1D ,4,21-Jun-2019 16:22:41.683353,Booster
187,E3 ,6,21-Jun-2019 16:22:41.683353,Recycler
188,A5 ,2,21-Jun-2019 16:22:41.683353,NuMI
189,15 ,2,21-Jun-2019 16:22:41.743353,Booster
190,15 ,2,21-Jun-2019 16:22:41.813353,Booster
191,15 ,2,21-Jun-2019 16:22:41.883353,Booster
192,15 ,2,21-Jun-2019 16:22:41.943353,Booster
193,15 ,2,21-Jun-2019 16:22:42.013353,Booster
194,15 ,2,21-Jun-2019 16:22:42.083353,Booster
195,15 ,2,21-Jun-2019 16:22:42.143353,Booster
196,15 ,2,21-Jun-2019 16:22:42.213353,Booster
197,15 ,2,21-Jun-2019 16:22:42.283353,Booster
198,15 ,2,21-Jun-2019 16:22:42.343353,Booster
199,15 ,2,21-Jun-2019 16:22:42.413353,Booster
200,15 ,2,21-Jun-2019 16:22:42.483353,Booster
201,2A ,9,21-Jun-2019 16:22:42.483353,MI
202,AE ,2,21-Jun-2019 16:22:42.483353,NuMI
203,1D ,4,21-Jun-2019 16:22:42.543353,Booster
204,1D ,4,21-Jun-2019 16:22:42.613353,Booster
205,1D ,4,21-Jun-2019 16:22:42.683353,Booster
206,1D ,4,21-Jun-2019 16:22:42.743353,Booster
207,1D ,4,21-Jun-2019 16:22:42.813353,Booster
208,1D ,4,21-Jun-2019 16:22:42.883353,Booster
209,1D ,4,21-Jun-2019 16:22:42.943353,Booster
210,1D ,4,21-Jun-2019 16:22:43.013353,Booster
