,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:13:21.096689,Booster
1,E3 ,6,21-Jun-2019 15:13:21.096689,Recycler
2,A5 ,2,21-Jun-2019 15:13:21.096689,NuMI
3,15 ,2,21-Jun-2019 15:13:21.163388,Booster
4,15 ,2,21-Jun-2019 15:13:21.229989,Booster
5,15 ,2,21-Jun-2019 15:13:21.296689,Booster
6,15 ,2,21-Jun-2019 15:13:21.363389,Booster
7,15 ,2,21-Jun-2019 15:13:21.429989,Booster
8,15 ,2,21-Jun-2019 15:13:21.496689,Booster
9,15 ,2,21-Jun-2019 15:13:21.563389,Booster
10,15 ,2,21-Jun-2019 15:13:21.629989,Booster
11,15 ,2,21-Jun-2019 15:13:21.696689,Booster
12,15 ,2,21-Jun-2019 15:13:21.763389,Booster
13,15 ,2,21-Jun-2019 15:13:21.829989,Booster
14,15 ,2,21-Jun-2019 15:13:21.896689,Booster
15,2A ,9,21-Jun-2019 15:13:21.896689,MI
16,AE ,2,21-Jun-2019 15:13:21.896689,NuMI
17,1D ,4,21-Jun-2019 15:13:21.963389,Booster
18,93 ,1,21-Jun-2019 15:13:21.963389,Accumulator
19,E9 ,20,21-Jun-2019 15:13:21.963389,Recycler
20,1C ,2,21-Jun-2019 15:13:22.029989,Booster
21,1C ,2,21-Jun-2019 15:13:22.096689,Booster
22,12 ,1,21-Jun-2019 15:13:22.163689,Booster
23,17 ,5,21-Jun-2019 15:13:22.229689,Booster
24,94 ,1,21-Jun-2019 15:13:22.229689,Accumulator
25,E9 ,20,21-Jun-2019 15:13:22.229689,Recycler
26,1C ,2,21-Jun-2019 15:13:22.296689,Booster
27,1C ,2,21-Jun-2019 15:13:22.363689,Booster
28,1D ,4,21-Jun-2019 15:13:22.429689,Booster
29,32 ,1,21-Jun-2019 15:13:22.429689,Switchyard
30,1D ,4,21-Jun-2019 15:13:22.496689,Booster
31,E3 ,6,21-Jun-2019 15:13:22.496689,Recycler
32,A5 ,2,21-Jun-2019 15:13:22.496689,NuMI
33,15 ,2,21-Jun-2019 15:13:22.563689,Booster
34,15 ,2,21-Jun-2019 15:13:22.629689,Booster
35,15 ,2,21-Jun-2019 15:13:22.696689,Booster
36,15 ,2,21-Jun-2019 15:13:22.763689,Booster
37,15 ,2,21-Jun-2019 15:13:22.829689,Booster
38,15 ,2,21-Jun-2019 15:13:22.896689,Booster
39,15 ,2,21-Jun-2019 15:13:22.963689,Booster
40,15 ,2,21-Jun-2019 15:13:23.029689,Booster
41,15 ,2,21-Jun-2019 15:13:23.096689,Booster
42,15 ,2,21-Jun-2019 15:13:23.163689,Booster
43,15 ,2,21-Jun-2019 15:13:23.229689,Booster
44,15 ,2,21-Jun-2019 15:13:23.296689,Booster
45,2A ,9,21-Jun-2019 15:13:23.296689,MI
46,AE ,2,21-Jun-2019 15:13:23.296689,NuMI
47,1D ,4,21-Jun-2019 15:13:23.363689,Booster
48,93 ,1,21-Jun-2019 15:13:23.363689,Accumulator
49,E9 ,20,21-Jun-2019 15:13:23.363689,Recycler
50,1C ,2,21-Jun-2019 15:13:23.429689,Booster
51,1C ,2,21-Jun-2019 15:13:23.496689,Booster
52,1D ,4,21-Jun-2019 15:13:23.563689,Booster
53,1D ,4,21-Jun-2019 15:13:23.629689,Booster
54,94 ,1,21-Jun-2019 15:13:23.629689,Accumulator
55,E9 ,20,21-Jun-2019 15:13:23.629689,Recycler
56,1C ,2,21-Jun-2019 15:13:23.696689,Booster
57,1C ,2,21-Jun-2019 15:13:23.763689,Booster
58,1D ,4,21-Jun-2019 15:13:23.829689,Booster
59,1D ,4,21-Jun-2019 15:13:23.896689,Booster
60,E3 ,6,21-Jun-2019 15:13:23.896689,Recycler
61,A5 ,2,21-Jun-2019 15:13:23.896689,NuMI
62,15 ,2,21-Jun-2019 15:13:23.963689,Booster
63,15 ,2,21-Jun-2019 15:13:24.029689,Booster
64,15 ,2,21-Jun-2019 15:13:24.096689,Booster
65,15 ,2,21-Jun-2019 15:13:24.163689,Booster
66,15 ,2,21-Jun-2019 15:13:24.229689,Booster
67,15 ,2,21-Jun-2019 15:13:24.296689,Booster
68,15 ,2,21-Jun-2019 15:13:24.363689,Booster
69,15 ,2,21-Jun-2019 15:13:24.429689,Booster
70,15 ,2,21-Jun-2019 15:13:24.496689,Booster
71,15 ,2,21-Jun-2019 15:13:24.563689,Booster
72,15 ,2,21-Jun-2019 15:13:24.629689,Booster
73,15 ,2,21-Jun-2019 15:13:24.696689,Booster
74,2A ,9,21-Jun-2019 15:13:24.696689,MI
75,AE ,2,21-Jun-2019 15:13:24.696689,NuMI
76,1D ,4,21-Jun-2019 15:13:24.763689,Booster
77,93 ,1,21-Jun-2019 15:13:24.763689,Accumulator
78,E9 ,20,21-Jun-2019 15:13:24.763689,Recycler
79,1C ,2,21-Jun-2019 15:13:24.829689,Booster
80,1C ,2,21-Jun-2019 15:13:24.896689,Booster
81,1D ,4,21-Jun-2019 15:13:24.963689,Booster
82,1D ,4,21-Jun-2019 15:13:25.029689,Booster
83,94 ,1,21-Jun-2019 15:13:25.029689,Accumulator
84,E9 ,20,21-Jun-2019 15:13:25.029689,Recycler
85,1C ,2,21-Jun-2019 15:13:25.096689,Booster
86,1C ,2,21-Jun-2019 15:13:25.163689,Booster
87,1D ,4,21-Jun-2019 15:13:25.229689,Booster
88,1D ,4,21-Jun-2019 15:13:25.296689,Booster
89,1D ,4,21-Jun-2019 15:13:25.363689,Booster
90,1D ,4,21-Jun-2019 15:13:25.429689,Booster
91,30 ,1,21-Jun-2019 15:13:25.429689,Accumulator
92,1D ,4,21-Jun-2019 15:13:25.496689,Booster
93,E2 ,5,21-Jun-2019 15:13:25.629689,Recycler
94,13 ,2,21-Jun-2019 15:13:25.696689,Booster
95,1D ,4,21-Jun-2019 15:13:25.763689,Booster
96,1D ,4,21-Jun-2019 15:13:25.829689,Booster
97,1D ,4,21-Jun-2019 15:13:25.896689,Booster
98,1D ,4,21-Jun-2019 15:13:25.963689,Booster
99,20 ,23,21-Jun-2019 15:13:26.029689,MI
100,12 ,1,21-Jun-2019 15:13:26.429689,Booster
101,1D ,4,21-Jun-2019 15:13:26.496689,Booster
102,1D ,4,21-Jun-2019 15:13:26.563689,Booster
103,1D ,4,21-Jun-2019 15:13:26.629689,Booster
104,12 ,1,21-Jun-2019 15:13:26.696689,Booster
105,1D ,4,21-Jun-2019 15:13:26.763689,Booster
106,1D ,4,21-Jun-2019 15:13:26.829689,Booster
107,1D ,4,21-Jun-2019 15:13:26.896689,Booster
108,1D ,4,21-Jun-2019 15:13:26.963689,Booster
109,1D ,4,21-Jun-2019 15:13:27.029689,Booster
110,E0 ,2,21-Jun-2019 15:13:28.096689,Recycler
111,19 ,2,21-Jun-2019 15:13:28.163689,Booster
112,1D ,4,21-Jun-2019 15:13:28.229689,Booster
113,1D ,4,21-Jun-2019 15:13:28.296689,Booster
114,1D ,4,21-Jun-2019 15:13:28.363689,Booster
115,1D ,4,21-Jun-2019 15:13:28.429689,Booster
116,12 ,1,21-Jun-2019 15:13:28.896689,Booster
117,1D ,4,21-Jun-2019 15:13:28.963689,Booster
118,1D ,4,21-Jun-2019 15:13:29.029689,Booster
119,1D ,4,21-Jun-2019 15:13:29.096689,Booster
120,1D ,4,21-Jun-2019 15:13:29.163689,Booster
121,1D ,4,21-Jun-2019 15:13:29.229689,Booster
122,12 ,1,21-Jun-2019 15:13:29.363689,Booster
123,1D ,4,21-Jun-2019 15:13:29.429689,Booster
124,1D ,4,21-Jun-2019 15:13:29.496689,Booster
125,1D ,4,21-Jun-2019 15:13:29.563689,Booster
