,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:50:58.101237,Booster
1,E3 ,6,21-Jun-2019 15:50:58.101237,Recycler
2,A5 ,2,21-Jun-2019 15:50:58.101237,NuMI
3,15 ,2,21-Jun-2019 15:50:58.167936,Booster
4,15 ,2,21-Jun-2019 15:50:58.234537,Booster
5,15 ,2,21-Jun-2019 15:50:58.301237,Booster
6,15 ,2,21-Jun-2019 15:50:58.367937,Booster
7,15 ,2,21-Jun-2019 15:50:58.434537,Booster
8,15 ,2,21-Jun-2019 15:50:58.501237,Booster
9,15 ,2,21-Jun-2019 15:50:58.567937,Booster
10,15 ,2,21-Jun-2019 15:50:58.634537,Booster
11,15 ,2,21-Jun-2019 15:50:58.701237,Booster
12,15 ,2,21-Jun-2019 15:50:58.767937,Booster
13,15 ,2,21-Jun-2019 15:50:58.834537,Booster
14,15 ,2,21-Jun-2019 15:50:58.901237,Booster
15,2A ,9,21-Jun-2019 15:50:58.901237,MI
16,AE ,2,21-Jun-2019 15:50:58.901237,NuMI
17,1D ,4,21-Jun-2019 15:50:58.967937,Booster
18,93 ,1,21-Jun-2019 15:50:58.967937,Accumulator
19,E9 ,20,21-Jun-2019 15:50:58.967937,Recycler
20,1C ,2,21-Jun-2019 15:50:59.034537,Booster
21,1C ,2,21-Jun-2019 15:50:59.101237,Booster
22,12 ,1,21-Jun-2019 15:50:59.168237,Booster
23,17 ,5,21-Jun-2019 15:50:59.234237,Booster
24,94 ,1,21-Jun-2019 15:50:59.234237,Accumulator
25,E9 ,20,21-Jun-2019 15:50:59.234237,Recycler
26,1C ,2,21-Jun-2019 15:50:59.301237,Booster
27,1C ,2,21-Jun-2019 15:50:59.368237,Booster
28,1D ,4,21-Jun-2019 15:50:59.434237,Booster
29,32 ,1,21-Jun-2019 15:50:59.434237,Switchyard
30,1D ,4,21-Jun-2019 15:50:59.501237,Booster
31,E3 ,6,21-Jun-2019 15:50:59.501237,Recycler
32,A5 ,2,21-Jun-2019 15:50:59.501237,NuMI
33,15 ,2,21-Jun-2019 15:50:59.568237,Booster
34,15 ,2,21-Jun-2019 15:50:59.634237,Booster
35,15 ,2,21-Jun-2019 15:50:59.701237,Booster
36,15 ,2,21-Jun-2019 15:50:59.768237,Booster
37,15 ,2,21-Jun-2019 15:50:59.834237,Booster
38,15 ,2,21-Jun-2019 15:50:59.901237,Booster
39,15 ,2,21-Jun-2019 15:50:59.968237,Booster
40,15 ,2,21-Jun-2019 15:51:00.034237,Booster
41,15 ,2,21-Jun-2019 15:51:00.101237,Booster
42,15 ,2,21-Jun-2019 15:51:00.168237,Booster
43,15 ,2,21-Jun-2019 15:51:00.234237,Booster
44,15 ,2,21-Jun-2019 15:51:00.301237,Booster
45,2A ,9,21-Jun-2019 15:51:00.301237,MI
46,AE ,2,21-Jun-2019 15:51:00.301237,NuMI
47,1D ,4,21-Jun-2019 15:51:00.368237,Booster
48,93 ,1,21-Jun-2019 15:51:00.368237,Accumulator
49,E9 ,20,21-Jun-2019 15:51:00.368237,Recycler
50,1C ,2,21-Jun-2019 15:51:00.434237,Booster
51,1C ,2,21-Jun-2019 15:51:00.501237,Booster
52,1D ,4,21-Jun-2019 15:51:00.568237,Booster
53,1D ,4,21-Jun-2019 15:51:00.634237,Booster
