,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:20:28.070024,Booster
1,E3 ,6,21-Jun-2019 15:20:28.070024,Recycler
2,A5 ,2,21-Jun-2019 15:20:28.070024,NuMI
3,15 ,2,21-Jun-2019 15:20:28.136723,Booster
4,15 ,2,21-Jun-2019 15:20:28.203324,Booster
5,15 ,2,21-Jun-2019 15:20:28.270024,Booster
6,15 ,2,21-Jun-2019 15:20:28.336724,Booster
7,15 ,2,21-Jun-2019 15:20:28.403324,Booster
8,15 ,2,21-Jun-2019 15:20:28.470024,Booster
9,15 ,2,21-Jun-2019 15:20:28.536724,Booster
10,15 ,2,21-Jun-2019 15:20:28.603324,Booster
11,15 ,2,21-Jun-2019 15:20:28.670024,Booster
12,15 ,2,21-Jun-2019 15:20:28.736724,Booster
13,15 ,2,21-Jun-2019 15:20:28.803324,Booster
14,15 ,2,21-Jun-2019 15:20:28.870024,Booster
15,2A ,9,21-Jun-2019 15:20:28.870024,MI
16,AE ,2,21-Jun-2019 15:20:28.870024,NuMI
17,1D ,4,21-Jun-2019 15:20:28.936724,Booster
18,93 ,1,21-Jun-2019 15:20:28.936724,Accumulator
19,E9 ,20,21-Jun-2019 15:20:28.936724,Recycler
20,1C ,2,21-Jun-2019 15:20:29.003324,Booster
21,1C ,2,21-Jun-2019 15:20:29.070024,Booster
22,12 ,1,21-Jun-2019 15:20:29.137024,Booster
23,17 ,5,21-Jun-2019 15:20:29.203024,Booster
24,94 ,1,21-Jun-2019 15:20:29.203024,Accumulator
25,E9 ,20,21-Jun-2019 15:20:29.203024,Recycler
26,1C ,2,21-Jun-2019 15:20:29.270024,Booster
27,1C ,2,21-Jun-2019 15:20:29.337024,Booster
28,1D ,4,21-Jun-2019 15:20:29.403024,Booster
29,32 ,1,21-Jun-2019 15:20:29.403024,Switchyard
30,1D ,4,21-Jun-2019 15:20:29.470024,Booster
31,E3 ,6,21-Jun-2019 15:20:29.470024,Recycler
32,A5 ,2,21-Jun-2019 15:20:29.470024,NuMI
33,15 ,2,21-Jun-2019 15:20:29.537024,Booster
34,15 ,2,21-Jun-2019 15:20:29.603024,Booster
35,15 ,2,21-Jun-2019 15:20:29.670024,Booster
36,15 ,2,21-Jun-2019 15:20:29.737024,Booster
37,15 ,2,21-Jun-2019 15:20:29.803024,Booster
38,15 ,2,21-Jun-2019 15:20:29.870024,Booster
39,15 ,2,21-Jun-2019 15:20:29.937024,Booster
40,15 ,2,21-Jun-2019 15:20:30.003024,Booster
41,15 ,2,21-Jun-2019 15:20:30.070024,Booster
42,15 ,2,21-Jun-2019 15:20:30.137024,Booster
43,15 ,2,21-Jun-2019 15:20:30.203024,Booster
