,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:12:20.116841,Booster
1,E3 ,6,21-Jun-2019 15:12:20.116841,Recycler
2,A5 ,2,21-Jun-2019 15:12:20.116841,NuMI
3,15 ,2,21-Jun-2019 15:12:20.183540,Booster
4,15 ,2,21-Jun-2019 15:12:20.250141,Booster
5,15 ,2,21-Jun-2019 15:12:20.316841,Booster
6,15 ,2,21-Jun-2019 15:12:20.383541,Booster
7,15 ,2,21-Jun-2019 15:12:20.450141,Booster
8,15 ,2,21-Jun-2019 15:12:20.516841,Booster
9,15 ,2,21-Jun-2019 15:12:20.583541,Booster
10,15 ,2,21-Jun-2019 15:12:20.650141,Booster
11,15 ,2,21-Jun-2019 15:12:20.716841,Booster
12,15 ,2,21-Jun-2019 15:12:20.783541,Booster
13,15 ,2,21-Jun-2019 15:12:20.850141,Booster
14,15 ,2,21-Jun-2019 15:12:20.916841,Booster
15,2A ,9,21-Jun-2019 15:12:20.916841,MI
16,AE ,2,21-Jun-2019 15:12:20.916841,NuMI
17,1D ,4,21-Jun-2019 15:12:20.983541,Booster
18,93 ,1,21-Jun-2019 15:12:20.983541,Accumulator
19,E9 ,20,21-Jun-2019 15:12:20.983541,Recycler
20,1C ,2,21-Jun-2019 15:12:21.050141,Booster
21,1C ,2,21-Jun-2019 15:12:21.116841,Booster
22,12 ,1,21-Jun-2019 15:12:21.183841,Booster
23,17 ,5,21-Jun-2019 15:12:21.249841,Booster
24,94 ,1,21-Jun-2019 15:12:21.249841,Accumulator
25,E9 ,20,21-Jun-2019 15:12:21.249841,Recycler
26,1C ,2,21-Jun-2019 15:12:21.316841,Booster
27,1C ,2,21-Jun-2019 15:12:21.383841,Booster
28,1D ,4,21-Jun-2019 15:12:21.449841,Booster
29,32 ,1,21-Jun-2019 15:12:21.449841,Switchyard
30,1D ,4,21-Jun-2019 15:12:21.516841,Booster
31,E3 ,6,21-Jun-2019 15:12:21.516841,Recycler
32,A5 ,2,21-Jun-2019 15:12:21.516841,NuMI
33,15 ,2,21-Jun-2019 15:12:21.583841,Booster
34,15 ,2,21-Jun-2019 15:12:21.649841,Booster
35,15 ,2,21-Jun-2019 15:12:21.716841,Booster
36,15 ,2,21-Jun-2019 15:12:21.783841,Booster
37,15 ,2,21-Jun-2019 15:12:21.849841,Booster
38,15 ,2,21-Jun-2019 15:12:21.916841,Booster
39,15 ,2,21-Jun-2019 15:12:21.983841,Booster
40,15 ,2,21-Jun-2019 15:12:22.049841,Booster
41,15 ,2,21-Jun-2019 15:12:22.116841,Booster
42,15 ,2,21-Jun-2019 15:12:22.183841,Booster
43,15 ,2,21-Jun-2019 15:12:22.249841,Booster
44,15 ,2,21-Jun-2019 15:12:22.316841,Booster
45,2A ,9,21-Jun-2019 15:12:22.316841,MI
46,AE ,2,21-Jun-2019 15:12:22.316841,NuMI
47,1D ,4,21-Jun-2019 15:12:22.383841,Booster
48,93 ,1,21-Jun-2019 15:12:22.383841,Accumulator
49,E9 ,20,21-Jun-2019 15:12:22.383841,Recycler
50,1C ,2,21-Jun-2019 15:12:22.449841,Booster
51,1C ,2,21-Jun-2019 15:12:22.516841,Booster
52,1D ,4,21-Jun-2019 15:12:22.583841,Booster
53,1D ,4,21-Jun-2019 15:12:22.649841,Booster
54,94 ,1,21-Jun-2019 15:12:22.649841,Accumulator
55,E9 ,20,21-Jun-2019 15:12:22.649841,Recycler
56,1C ,2,21-Jun-2019 15:12:22.716841,Booster
57,1C ,2,21-Jun-2019 15:12:22.783841,Booster
58,1D ,4,21-Jun-2019 15:12:22.849841,Booster
