,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 16:11:18.177599,Booster
1,E3 ,6,21-Jun-2019 16:11:18.177599,Recycler
2,A5 ,2,21-Jun-2019 16:11:18.177599,NuMI
3,15 ,2,21-Jun-2019 16:11:18.244298,Booster
4,15 ,2,21-Jun-2019 16:11:18.310899,Booster
5,15 ,2,21-Jun-2019 16:11:18.377599,Booster
6,15 ,2,21-Jun-2019 16:11:18.444299,Booster
7,15 ,2,21-Jun-2019 16:11:18.510899,Booster
8,15 ,2,21-Jun-2019 16:11:18.577599,Booster
9,15 ,2,21-Jun-2019 16:11:18.644299,Booster
10,15 ,2,21-Jun-2019 16:11:18.710899,Booster
11,15 ,2,21-Jun-2019 16:11:18.777599,Booster
12,15 ,2,21-Jun-2019 16:11:18.844299,Booster
13,15 ,2,21-Jun-2019 16:11:18.910899,Booster
14,15 ,2,21-Jun-2019 16:11:18.977599,Booster
15,2A ,9,21-Jun-2019 16:11:18.977599,MI
16,AE ,2,21-Jun-2019 16:11:18.977599,NuMI
17,1D ,4,21-Jun-2019 16:11:19.044299,Booster
18,93 ,1,21-Jun-2019 16:11:19.044299,Accumulator
19,E9 ,20,21-Jun-2019 16:11:19.044299,Recycler
20,1C ,2,21-Jun-2019 16:11:19.110899,Booster
21,1C ,2,21-Jun-2019 16:11:19.177599,Booster
22,12 ,1,21-Jun-2019 16:11:19.244599,Booster
23,17 ,5,21-Jun-2019 16:11:19.310599,Booster
24,94 ,1,21-Jun-2019 16:11:19.310599,Accumulator
25,E9 ,20,21-Jun-2019 16:11:19.310599,Recycler
26,1C ,2,21-Jun-2019 16:11:19.377599,Booster
27,1C ,2,21-Jun-2019 16:11:19.444599,Booster
28,1D ,4,21-Jun-2019 16:11:19.510599,Booster
29,32 ,1,21-Jun-2019 16:11:19.510599,Switchyard
30,1D ,4,21-Jun-2019 16:11:19.577599,Booster
31,E3 ,6,21-Jun-2019 16:11:19.577599,Recycler
32,A5 ,2,21-Jun-2019 16:11:19.577599,NuMI
33,15 ,2,21-Jun-2019 16:11:19.644599,Booster
34,15 ,2,21-Jun-2019 16:11:19.710599,Booster
35,15 ,2,21-Jun-2019 16:11:19.777599,Booster
36,15 ,2,21-Jun-2019 16:11:19.844599,Booster
37,15 ,2,21-Jun-2019 16:11:19.910599,Booster
38,15 ,2,21-Jun-2019 16:11:19.977599,Booster
39,15 ,2,21-Jun-2019 16:11:20.044599,Booster
40,15 ,2,21-Jun-2019 16:11:20.110599,Booster
41,15 ,2,21-Jun-2019 16:11:20.177599,Booster
42,15 ,2,21-Jun-2019 16:11:20.244599,Booster
43,15 ,2,21-Jun-2019 16:11:20.310599,Booster
44,15 ,2,21-Jun-2019 16:11:20.377599,Booster
45,2A ,9,21-Jun-2019 16:11:20.377599,MI
46,AE ,2,21-Jun-2019 16:11:20.377599,NuMI
47,1D ,4,21-Jun-2019 16:11:20.444599,Booster
48,93 ,1,21-Jun-2019 16:11:20.444599,Accumulator
49,E9 ,20,21-Jun-2019 16:11:20.444599,Recycler
50,1C ,2,21-Jun-2019 16:11:20.510599,Booster
51,1C ,2,21-Jun-2019 16:11:20.577599,Booster
52,1D ,4,21-Jun-2019 16:11:20.644599,Booster
53,1D ,4,21-Jun-2019 16:11:20.710599,Booster
54,94 ,1,21-Jun-2019 16:11:20.710599,Accumulator
55,E9 ,20,21-Jun-2019 16:11:20.710599,Recycler
56,1C ,2,21-Jun-2019 16:11:20.777599,Booster
57,1C ,2,21-Jun-2019 16:11:20.844599,Booster
58,1D ,4,21-Jun-2019 16:11:20.910599,Booster
59,1D ,4,21-Jun-2019 16:11:20.977599,Booster
60,E3 ,6,21-Jun-2019 16:11:20.977599,Recycler
61,A5 ,2,21-Jun-2019 16:11:20.977599,NuMI
62,15 ,2,21-Jun-2019 16:11:21.044599,Booster
63,15 ,2,21-Jun-2019 16:11:21.110599,Booster
64,15 ,2,21-Jun-2019 16:11:21.177599,Booster
65,15 ,2,21-Jun-2019 16:11:21.244599,Booster
66,15 ,2,21-Jun-2019 16:11:21.310599,Booster
67,15 ,2,21-Jun-2019 16:11:21.377599,Booster
68,15 ,2,21-Jun-2019 16:11:21.444599,Booster
69,15 ,2,21-Jun-2019 16:11:21.510599,Booster
70,15 ,2,21-Jun-2019 16:11:21.577599,Booster
71,15 ,2,21-Jun-2019 16:11:21.644599,Booster
72,15 ,2,21-Jun-2019 16:11:21.710599,Booster
73,15 ,2,21-Jun-2019 16:11:21.777599,Booster
74,2A ,9,21-Jun-2019 16:11:21.777599,MI
75,AE ,2,21-Jun-2019 16:11:21.777599,NuMI
76,1D ,4,21-Jun-2019 16:11:21.844599,Booster
77,93 ,1,21-Jun-2019 16:11:21.844599,Accumulator
78,E9 ,20,21-Jun-2019 16:11:21.844599,Recycler
79,1C ,2,21-Jun-2019 16:11:21.910599,Booster
80,1C ,2,21-Jun-2019 16:11:21.977599,Booster
81,1D ,4,21-Jun-2019 16:11:22.044599,Booster
