,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:18:26.138768,Booster
1,E3 ,6,21-Jun-2019 15:18:26.138768,Recycler
2,A5 ,2,21-Jun-2019 15:18:26.138768,NuMI
3,15 ,2,21-Jun-2019 15:18:26.205467,Booster
4,15 ,2,21-Jun-2019 15:18:26.272068,Booster
5,15 ,2,21-Jun-2019 15:18:26.338768,Booster
6,15 ,2,21-Jun-2019 15:18:26.405468,Booster
7,15 ,2,21-Jun-2019 15:18:26.472068,Booster
8,15 ,2,21-Jun-2019 15:18:26.538768,Booster
9,15 ,2,21-Jun-2019 15:18:26.605468,Booster
10,15 ,2,21-Jun-2019 15:18:26.672068,Booster
11,15 ,2,21-Jun-2019 15:18:26.738768,Booster
12,15 ,2,21-Jun-2019 15:18:26.805468,Booster
13,15 ,2,21-Jun-2019 15:18:26.872068,Booster
14,15 ,2,21-Jun-2019 15:18:26.938768,Booster
15,2A ,9,21-Jun-2019 15:18:26.938768,MI
16,AE ,2,21-Jun-2019 15:18:26.938768,NuMI
17,1D ,4,21-Jun-2019 15:18:27.005468,Booster
18,93 ,1,21-Jun-2019 15:18:27.005468,Accumulator
19,E9 ,20,21-Jun-2019 15:18:27.005468,Recycler
20,1C ,2,21-Jun-2019 15:18:27.072068,Booster
21,1C ,2,21-Jun-2019 15:18:27.138768,Booster
22,12 ,1,21-Jun-2019 15:18:27.205768,Booster
23,17 ,5,21-Jun-2019 15:18:27.271768,Booster
24,94 ,1,21-Jun-2019 15:18:27.271768,Accumulator
25,E9 ,20,21-Jun-2019 15:18:27.271768,Recycler
26,1C ,2,21-Jun-2019 15:18:27.338768,Booster
27,1C ,2,21-Jun-2019 15:18:27.405768,Booster
28,1D ,4,21-Jun-2019 15:18:27.471768,Booster
29,32 ,1,21-Jun-2019 15:18:27.471768,Switchyard
30,1D ,4,21-Jun-2019 15:18:27.538768,Booster
31,E3 ,6,21-Jun-2019 15:18:27.538768,Recycler
32,A5 ,2,21-Jun-2019 15:18:27.538768,NuMI
33,15 ,2,21-Jun-2019 15:18:27.605768,Booster
34,15 ,2,21-Jun-2019 15:18:27.671768,Booster
35,15 ,2,21-Jun-2019 15:18:27.738768,Booster
36,15 ,2,21-Jun-2019 15:18:27.805768,Booster
37,15 ,2,21-Jun-2019 15:18:27.871768,Booster
38,15 ,2,21-Jun-2019 15:18:27.938768,Booster
39,15 ,2,21-Jun-2019 15:18:28.005768,Booster
40,15 ,2,21-Jun-2019 15:18:28.071768,Booster
41,15 ,2,21-Jun-2019 15:18:28.138768,Booster
42,15 ,2,21-Jun-2019 15:18:28.205768,Booster
43,15 ,2,21-Jun-2019 15:18:28.271768,Booster
44,15 ,2,21-Jun-2019 15:18:28.338768,Booster
45,2A ,9,21-Jun-2019 15:18:28.338768,MI
46,AE ,2,21-Jun-2019 15:18:28.338768,NuMI
47,1D ,4,21-Jun-2019 15:18:28.405768,Booster
48,93 ,1,21-Jun-2019 15:18:28.405768,Accumulator
49,E9 ,20,21-Jun-2019 15:18:28.405768,Recycler
50,1C ,2,21-Jun-2019 15:18:28.471768,Booster
51,1C ,2,21-Jun-2019 15:18:28.538768,Booster
52,1D ,4,21-Jun-2019 15:18:28.605768,Booster
53,1D ,4,21-Jun-2019 15:18:28.671768,Booster
54,94 ,1,21-Jun-2019 15:18:28.671768,Accumulator
55,E9 ,20,21-Jun-2019 15:18:28.671768,Recycler
56,1C ,2,21-Jun-2019 15:18:28.738768,Booster
57,1C ,2,21-Jun-2019 15:18:28.805768,Booster
58,1D ,4,21-Jun-2019 15:18:28.871768,Booster
59,1D ,4,21-Jun-2019 15:18:28.938768,Booster
60,E3 ,6,21-Jun-2019 15:18:28.938768,Recycler
61,A5 ,2,21-Jun-2019 15:18:28.938768,NuMI
62,15 ,2,21-Jun-2019 15:18:29.005768,Booster
63,15 ,2,21-Jun-2019 15:18:29.071768,Booster
64,15 ,2,21-Jun-2019 15:18:29.138768,Booster
65,15 ,2,21-Jun-2019 15:18:29.205768,Booster
66,15 ,2,21-Jun-2019 15:18:29.271768,Booster
67,15 ,2,21-Jun-2019 15:18:29.338768,Booster
68,15 ,2,21-Jun-2019 15:18:29.405768,Booster
69,15 ,2,21-Jun-2019 15:18:29.471768,Booster
70,15 ,2,21-Jun-2019 15:18:29.538768,Booster
71,15 ,2,21-Jun-2019 15:18:29.605768,Booster
72,15 ,2,21-Jun-2019 15:18:29.671768,Booster
73,15 ,2,21-Jun-2019 15:18:29.738768,Booster
74,2A ,9,21-Jun-2019 15:18:29.738768,MI
75,AE ,2,21-Jun-2019 15:18:29.738768,NuMI
76,1D ,4,21-Jun-2019 15:18:29.805768,Booster
77,93 ,1,21-Jun-2019 15:18:29.805768,Accumulator
78,E9 ,20,21-Jun-2019 15:18:29.805768,Recycler
79,1C ,2,21-Jun-2019 15:18:29.871768,Booster
80,1C ,2,21-Jun-2019 15:18:29.938768,Booster
81,1D ,4,21-Jun-2019 15:18:30.005768,Booster
82,1D ,4,21-Jun-2019 15:18:30.071768,Booster
83,94 ,1,21-Jun-2019 15:18:30.071768,Accumulator
84,E9 ,20,21-Jun-2019 15:18:30.071768,Recycler
85,1C ,2,21-Jun-2019 15:18:30.138768,Booster
86,1C ,2,21-Jun-2019 15:18:30.205768,Booster
87,1D ,4,21-Jun-2019 15:18:30.271768,Booster
88,1D ,4,21-Jun-2019 15:18:30.338768,Booster
89,1D ,4,21-Jun-2019 15:18:30.405768,Booster
90,1D ,4,21-Jun-2019 15:18:30.471768,Booster
91,30 ,1,21-Jun-2019 15:18:30.471768,Accumulator
92,1D ,4,21-Jun-2019 15:18:30.538768,Booster
93,E2 ,5,21-Jun-2019 15:18:30.671768,Recycler
94,13 ,2,21-Jun-2019 15:18:30.738768,Booster
95,1D ,4,21-Jun-2019 15:18:30.805768,Booster
96,1D ,4,21-Jun-2019 15:18:30.871768,Booster
97,1D ,4,21-Jun-2019 15:18:30.938768,Booster
98,1D ,4,21-Jun-2019 15:18:31.005768,Booster
99,20 ,23,21-Jun-2019 15:18:31.071768,MI
100,12 ,1,21-Jun-2019 15:18:31.471768,Booster
101,1D ,4,21-Jun-2019 15:18:31.538768,Booster
102,1D ,4,21-Jun-2019 15:18:31.605768,Booster
103,1D ,4,21-Jun-2019 15:18:31.671768,Booster
104,12 ,1,21-Jun-2019 15:18:31.738768,Booster
105,1D ,4,21-Jun-2019 15:18:31.805768,Booster
106,1D ,4,21-Jun-2019 15:18:31.871768,Booster
107,1D ,4,21-Jun-2019 15:18:31.938768,Booster
108,1D ,4,21-Jun-2019 15:18:32.005768,Booster
109,1D ,4,21-Jun-2019 15:18:32.071768,Booster
110,E0 ,2,21-Jun-2019 15:18:33.138768,Recycler
111,19 ,2,21-Jun-2019 15:18:33.205768,Booster
112,1D ,4,21-Jun-2019 15:18:33.271768,Booster
113,1D ,4,21-Jun-2019 15:18:33.338768,Booster
114,1D ,4,21-Jun-2019 15:18:33.405768,Booster
115,1D ,4,21-Jun-2019 15:18:33.471768,Booster
116,12 ,1,21-Jun-2019 15:18:33.938768,Booster
117,1D ,4,21-Jun-2019 15:18:34.005768,Booster
118,1D ,4,21-Jun-2019 15:18:34.071768,Booster
119,1D ,4,21-Jun-2019 15:18:34.138768,Booster
120,1D ,4,21-Jun-2019 15:18:34.205768,Booster
121,1D ,4,21-Jun-2019 15:18:34.271768,Booster
122,12 ,1,21-Jun-2019 15:18:34.405768,Booster
123,1D ,4,21-Jun-2019 15:18:34.471768,Booster
124,1D ,4,21-Jun-2019 15:18:34.538768,Booster
125,1D ,4,21-Jun-2019 15:18:34.605768,Booster
126,1D ,4,21-Jun-2019 15:18:34.671768,Booster
127,1D ,4,21-Jun-2019 15:18:34.738768,Booster
128,12 ,1,21-Jun-2019 15:18:35.138768,Booster
129,1D ,4,21-Jun-2019 15:18:35.205768,Booster
130,1D ,4,21-Jun-2019 15:18:35.271768,Booster
131,1D ,4,21-Jun-2019 15:18:35.338768,Booster
132,1D ,4,21-Jun-2019 15:18:35.405768,Booster
133,1D ,4,21-Jun-2019 15:18:35.471768,Booster
134,1D ,4,21-Jun-2019 15:18:35.538768,Booster
135,1D ,4,21-Jun-2019 15:18:35.605768,Booster
136,1D ,4,21-Jun-2019 15:18:35.671768,Booster
137,E3 ,6,21-Jun-2019 15:18:35.805768,Recycler
138,A5 ,2,21-Jun-2019 15:18:35.805768,NuMI
139,15 ,2,21-Jun-2019 15:18:35.871768,Booster
140,15 ,2,21-Jun-2019 15:18:35.938768,Booster
141,15 ,2,21-Jun-2019 15:18:36.005768,Booster
142,15 ,2,21-Jun-2019 15:18:36.071768,Booster
143,15 ,2,21-Jun-2019 15:18:36.138768,Booster
144,15 ,2,21-Jun-2019 15:18:36.208768,Booster
145,15 ,2,21-Jun-2019 15:18:36.268768,Booster
146,15 ,2,21-Jun-2019 15:18:36.338768,Booster
147,15 ,2,21-Jun-2019 15:18:36.408768,Booster
148,15 ,2,21-Jun-2019 15:18:36.468768,Booster
149,15 ,2,21-Jun-2019 15:18:36.538768,Booster
150,15 ,2,21-Jun-2019 15:18:36.608768,Booster
151,2A ,9,21-Jun-2019 15:18:36.608768,MI
152,AE ,2,21-Jun-2019 15:18:36.608768,NuMI
153,1D ,4,21-Jun-2019 15:18:36.668768,Booster
154,1D ,4,21-Jun-2019 15:18:36.738768,Booster
155,1D ,4,21-Jun-2019 15:18:36.808768,Booster
156,1D ,4,21-Jun-2019 15:18:36.868768,Booster
157,1D ,4,21-Jun-2019 15:18:36.938768,Booster
158,1D ,4,21-Jun-2019 15:18:37.008768,Booster
159,1D ,4,21-Jun-2019 15:18:37.068768,Booster
160,1D ,4,21-Jun-2019 15:18:37.138768,Booster
161,1D ,4,21-Jun-2019 15:18:37.208768,Booster
162,E3 ,6,21-Jun-2019 15:18:37.208768,Recycler
163,A5 ,2,21-Jun-2019 15:18:37.208768,NuMI
164,15 ,2,21-Jun-2019 15:18:37.268768,Booster
165,15 ,2,21-Jun-2019 15:18:37.338768,Booster
166,15 ,2,21-Jun-2019 15:18:37.408768,Booster
167,15 ,2,21-Jun-2019 15:18:37.468768,Booster
168,15 ,2,21-Jun-2019 15:18:37.538768,Booster
169,15 ,2,21-Jun-2019 15:18:37.608768,Booster
170,15 ,2,21-Jun-2019 15:18:37.668768,Booster
171,15 ,2,21-Jun-2019 15:18:37.738768,Booster
172,15 ,2,21-Jun-2019 15:18:37.808768,Booster
173,15 ,2,21-Jun-2019 15:18:37.868768,Booster
174,15 ,2,21-Jun-2019 15:18:37.938768,Booster
175,15 ,2,21-Jun-2019 15:18:38.008768,Booster
176,2A ,9,21-Jun-2019 15:18:38.008768,MI
177,AE ,2,21-Jun-2019 15:18:38.008768,NuMI
178,12 ,1,21-Jun-2019 15:18:38.068768,Booster
179,17 ,5,21-Jun-2019 15:18:38.138768,Booster
180,1D ,4,21-Jun-2019 15:18:38.208768,Booster
181,1D ,4,21-Jun-2019 15:18:38.268768,Booster
182,1D ,4,21-Jun-2019 15:18:38.338768,Booster
183,1D ,4,21-Jun-2019 15:18:38.408768,Booster
184,1D ,4,21-Jun-2019 15:18:38.468768,Booster
185,1D ,4,21-Jun-2019 15:18:38.538768,Booster
186,1D ,4,21-Jun-2019 15:18:38.608768,Booster
187,E3 ,6,21-Jun-2019 15:18:38.608768,Recycler
188,A5 ,2,21-Jun-2019 15:18:38.608768,NuMI
189,15 ,2,21-Jun-2019 15:18:38.668768,Booster
190,15 ,2,21-Jun-2019 15:18:38.738768,Booster
191,15 ,2,21-Jun-2019 15:18:38.808768,Booster
192,15 ,2,21-Jun-2019 15:18:38.868768,Booster
193,15 ,2,21-Jun-2019 15:18:38.938768,Booster
194,15 ,2,21-Jun-2019 15:18:39.008768,Booster
195,15 ,2,21-Jun-2019 15:18:39.068768,Booster
196,15 ,2,21-Jun-2019 15:18:39.138768,Booster
197,15 ,2,21-Jun-2019 15:18:39.208768,Booster
198,15 ,2,21-Jun-2019 15:18:39.268768,Booster
199,15 ,2,21-Jun-2019 15:18:39.338768,Booster
200,15 ,2,21-Jun-2019 15:18:39.408768,Booster
201,2A ,9,21-Jun-2019 15:18:39.408768,MI
202,AE ,2,21-Jun-2019 15:18:39.408768,NuMI
