,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 14:54:02.181108,Booster
1,E3 ,6,21-Jun-2019 14:54:02.181108,Recycler
2,A5 ,2,21-Jun-2019 14:54:02.181108,NuMI
3,15 ,2,21-Jun-2019 14:54:02.247807,Booster
4,15 ,2,21-Jun-2019 14:54:02.314408,Booster
5,15 ,2,21-Jun-2019 14:54:02.381108,Booster
6,15 ,2,21-Jun-2019 14:54:02.447808,Booster
7,15 ,2,21-Jun-2019 14:54:02.514408,Booster
8,15 ,2,21-Jun-2019 14:54:02.581108,Booster
9,15 ,2,21-Jun-2019 14:54:02.647808,Booster
10,15 ,2,21-Jun-2019 14:54:02.714408,Booster
11,15 ,2,21-Jun-2019 14:54:02.781108,Booster
12,15 ,2,21-Jun-2019 14:54:02.847808,Booster
13,15 ,2,21-Jun-2019 14:54:02.914408,Booster
14,15 ,2,21-Jun-2019 14:54:02.981108,Booster
15,2A ,9,21-Jun-2019 14:54:02.981108,MI
16,AE ,2,21-Jun-2019 14:54:02.981108,NuMI
17,1D ,4,21-Jun-2019 14:54:03.047808,Booster
18,93 ,1,21-Jun-2019 14:54:03.047808,Accumulator
19,E9 ,20,21-Jun-2019 14:54:03.047808,Recycler
20,1C ,2,21-Jun-2019 14:54:03.114408,Booster
21,1C ,2,21-Jun-2019 14:54:03.181108,Booster
22,12 ,1,21-Jun-2019 14:54:03.248108,Booster
23,17 ,5,21-Jun-2019 14:54:03.314108,Booster
24,94 ,1,21-Jun-2019 14:54:03.314108,Accumulator
25,E9 ,20,21-Jun-2019 14:54:03.314108,Recycler
26,1C ,2,21-Jun-2019 14:54:03.381108,Booster
27,1C ,2,21-Jun-2019 14:54:03.448108,Booster
28,1D ,4,21-Jun-2019 14:54:03.514108,Booster
29,32 ,1,21-Jun-2019 14:54:03.514108,Switchyard
30,1D ,4,21-Jun-2019 14:54:03.581108,Booster
31,E3 ,6,21-Jun-2019 14:54:03.581108,Recycler
32,A5 ,2,21-Jun-2019 14:54:03.581108,NuMI
33,15 ,2,21-Jun-2019 14:54:03.648108,Booster
34,15 ,2,21-Jun-2019 14:54:03.714108,Booster
35,15 ,2,21-Jun-2019 14:54:03.781108,Booster
36,15 ,2,21-Jun-2019 14:54:03.848108,Booster
37,15 ,2,21-Jun-2019 14:54:03.914108,Booster
38,15 ,2,21-Jun-2019 14:54:03.981108,Booster
39,15 ,2,21-Jun-2019 14:54:04.048108,Booster
40,15 ,2,21-Jun-2019 14:54:04.114108,Booster
41,15 ,2,21-Jun-2019 14:54:04.181108,Booster
42,15 ,2,21-Jun-2019 14:54:04.248108,Booster
43,15 ,2,21-Jun-2019 14:54:04.314108,Booster
44,15 ,2,21-Jun-2019 14:54:04.381108,Booster
45,2A ,9,21-Jun-2019 14:54:04.381108,MI
46,AE ,2,21-Jun-2019 14:54:04.381108,NuMI
47,1D ,4,21-Jun-2019 14:54:04.448108,Booster
48,93 ,1,21-Jun-2019 14:54:04.448108,Accumulator
49,E9 ,20,21-Jun-2019 14:54:04.448108,Recycler
50,1C ,2,21-Jun-2019 14:54:04.514108,Booster
51,1C ,2,21-Jun-2019 14:54:04.581108,Booster
52,1D ,4,21-Jun-2019 14:54:04.648108,Booster
53,1D ,4,21-Jun-2019 14:54:04.714108,Booster
54,94 ,1,21-Jun-2019 14:54:04.714108,Accumulator
55,E9 ,20,21-Jun-2019 14:54:04.714108,Recycler
56,1C ,2,21-Jun-2019 14:54:04.781108,Booster
57,1C ,2,21-Jun-2019 14:54:04.848108,Booster
58,1D ,4,21-Jun-2019 14:54:04.914108,Booster
59,1D ,4,21-Jun-2019 14:54:04.981108,Booster
60,E3 ,6,21-Jun-2019 14:54:04.981108,Recycler
61,A5 ,2,21-Jun-2019 14:54:04.981108,NuMI
62,15 ,2,21-Jun-2019 14:54:05.048108,Booster
63,15 ,2,21-Jun-2019 14:54:05.114108,Booster
64,15 ,2,21-Jun-2019 14:54:05.181108,Booster
65,15 ,2,21-Jun-2019 14:54:05.248108,Booster
66,15 ,2,21-Jun-2019 14:54:05.314108,Booster
67,15 ,2,21-Jun-2019 14:54:05.381108,Booster
68,15 ,2,21-Jun-2019 14:54:05.448108,Booster
69,15 ,2,21-Jun-2019 14:54:05.514108,Booster
70,15 ,2,21-Jun-2019 14:54:05.581108,Booster
71,15 ,2,21-Jun-2019 14:54:05.648108,Booster
72,15 ,2,21-Jun-2019 14:54:05.714108,Booster
73,15 ,2,21-Jun-2019 14:54:05.781108,Booster
74,2A ,9,21-Jun-2019 14:54:05.781108,MI
75,AE ,2,21-Jun-2019 14:54:05.781108,NuMI
76,1D ,4,21-Jun-2019 14:54:05.848108,Booster
77,93 ,1,21-Jun-2019 14:54:05.848108,Accumulator
78,E9 ,20,21-Jun-2019 14:54:05.848108,Recycler
79,1C ,2,21-Jun-2019 14:54:05.914108,Booster
80,1C ,2,21-Jun-2019 14:54:05.981108,Booster
81,1D ,4,21-Jun-2019 14:54:06.048108,Booster
82,1D ,4,21-Jun-2019 14:54:06.114108,Booster
83,94 ,1,21-Jun-2019 14:54:06.114108,Accumulator
84,E9 ,20,21-Jun-2019 14:54:06.114108,Recycler
85,1C ,2,21-Jun-2019 14:54:06.181108,Booster
86,1C ,2,21-Jun-2019 14:54:06.248108,Booster
87,1D ,4,21-Jun-2019 14:54:06.314108,Booster
88,1D ,4,21-Jun-2019 14:54:06.381108,Booster
89,1D ,4,21-Jun-2019 14:54:06.448108,Booster
90,1D ,4,21-Jun-2019 14:54:06.514108,Booster
91,30 ,1,21-Jun-2019 14:54:06.514108,Accumulator
92,1D ,4,21-Jun-2019 14:54:06.581108,Booster
93,E2 ,5,21-Jun-2019 14:54:06.714108,Recycler
94,13 ,2,21-Jun-2019 14:54:06.781108,Booster
95,1D ,4,21-Jun-2019 14:54:06.848108,Booster
96,1D ,4,21-Jun-2019 14:54:06.914108,Booster
97,1D ,4,21-Jun-2019 14:54:06.981108,Booster
98,1D ,4,21-Jun-2019 14:54:07.048108,Booster
99,20 ,23,21-Jun-2019 14:54:07.114108,MI
