,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:33:41.078680,Booster
1,E3 ,6,21-Jun-2019 15:33:41.078680,Recycler
2,A5 ,2,21-Jun-2019 15:33:41.078680,NuMI
3,15 ,2,21-Jun-2019 15:33:41.145379,Booster
4,15 ,2,21-Jun-2019 15:33:41.211980,Booster
5,15 ,2,21-Jun-2019 15:33:41.278680,Booster
6,15 ,2,21-Jun-2019 15:33:41.345380,Booster
7,15 ,2,21-Jun-2019 15:33:41.411980,Booster
8,15 ,2,21-Jun-2019 15:33:41.478680,Booster
9,15 ,2,21-Jun-2019 15:33:41.545380,Booster
10,15 ,2,21-Jun-2019 15:33:41.611980,Booster
11,15 ,2,21-Jun-2019 15:33:41.678680,Booster
12,15 ,2,21-Jun-2019 15:33:41.745380,Booster
13,15 ,2,21-Jun-2019 15:33:41.811980,Booster
14,15 ,2,21-Jun-2019 15:33:41.878680,Booster
15,2A ,9,21-Jun-2019 15:33:41.878680,MI
16,AE ,2,21-Jun-2019 15:33:41.878680,NuMI
17,1D ,4,21-Jun-2019 15:33:41.945380,Booster
18,93 ,1,21-Jun-2019 15:33:41.945380,Accumulator
19,E9 ,20,21-Jun-2019 15:33:41.945380,Recycler
20,1C ,2,21-Jun-2019 15:33:42.011980,Booster
21,1C ,2,21-Jun-2019 15:33:42.078680,Booster
22,12 ,1,21-Jun-2019 15:33:42.145680,Booster
23,17 ,5,21-Jun-2019 15:33:42.211680,Booster
24,94 ,1,21-Jun-2019 15:33:42.211680,Accumulator
25,E9 ,20,21-Jun-2019 15:33:42.211680,Recycler
26,1C ,2,21-Jun-2019 15:33:42.278680,Booster
27,1C ,2,21-Jun-2019 15:33:42.345680,Booster
28,1D ,4,21-Jun-2019 15:33:42.411680,Booster
29,32 ,1,21-Jun-2019 15:33:42.411680,Switchyard
30,1D ,4,21-Jun-2019 15:33:42.478680,Booster
31,E3 ,6,21-Jun-2019 15:33:42.478680,Recycler
32,A5 ,2,21-Jun-2019 15:33:42.478680,NuMI
33,15 ,2,21-Jun-2019 15:33:42.545680,Booster
34,15 ,2,21-Jun-2019 15:33:42.611680,Booster
35,15 ,2,21-Jun-2019 15:33:42.678680,Booster
36,15 ,2,21-Jun-2019 15:33:42.745680,Booster
37,15 ,2,21-Jun-2019 15:33:42.811680,Booster
38,15 ,2,21-Jun-2019 15:33:42.878680,Booster
39,15 ,2,21-Jun-2019 15:33:42.945680,Booster
40,15 ,2,21-Jun-2019 15:33:43.011680,Booster
41,15 ,2,21-Jun-2019 15:33:43.078680,Booster
42,15 ,2,21-Jun-2019 15:33:43.145680,Booster
43,15 ,2,21-Jun-2019 15:33:43.211680,Booster
44,15 ,2,21-Jun-2019 15:33:43.278680,Booster
45,2A ,9,21-Jun-2019 15:33:43.278680,MI
46,AE ,2,21-Jun-2019 15:33:43.278680,NuMI
47,1D ,4,21-Jun-2019 15:33:43.345680,Booster
48,93 ,1,21-Jun-2019 15:33:43.345680,Accumulator
49,E9 ,20,21-Jun-2019 15:33:43.345680,Recycler
50,1C ,2,21-Jun-2019 15:33:43.411680,Booster
51,1C ,2,21-Jun-2019 15:33:43.478680,Booster
52,1D ,4,21-Jun-2019 15:33:43.545680,Booster
53,1D ,4,21-Jun-2019 15:33:43.611680,Booster
54,94 ,1,21-Jun-2019 15:33:43.611680,Accumulator
55,E9 ,20,21-Jun-2019 15:33:43.611680,Recycler
56,1C ,2,21-Jun-2019 15:33:43.678680,Booster
57,1C ,2,21-Jun-2019 15:33:43.745680,Booster
58,1D ,4,21-Jun-2019 15:33:43.811680,Booster
59,1D ,4,21-Jun-2019 15:33:43.878680,Booster
60,E3 ,6,21-Jun-2019 15:33:43.878680,Recycler
61,A5 ,2,21-Jun-2019 15:33:43.878680,NuMI
62,15 ,2,21-Jun-2019 15:33:43.945680,Booster
63,15 ,2,21-Jun-2019 15:33:44.011680,Booster
64,15 ,2,21-Jun-2019 15:33:44.078680,Booster
65,15 ,2,21-Jun-2019 15:33:44.145680,Booster
66,15 ,2,21-Jun-2019 15:33:44.211680,Booster
67,15 ,2,21-Jun-2019 15:33:44.278680,Booster
68,15 ,2,21-Jun-2019 15:33:44.345680,Booster
69,15 ,2,21-Jun-2019 15:33:44.411680,Booster
70,15 ,2,21-Jun-2019 15:33:44.478680,Booster
71,15 ,2,21-Jun-2019 15:33:44.545680,Booster
72,15 ,2,21-Jun-2019 15:33:44.611680,Booster
73,15 ,2,21-Jun-2019 15:33:44.678680,Booster
74,2A ,9,21-Jun-2019 15:33:44.678680,MI
75,AE ,2,21-Jun-2019 15:33:44.678680,NuMI
76,1D ,4,21-Jun-2019 15:33:44.745680,Booster
77,93 ,1,21-Jun-2019 15:33:44.745680,Accumulator
78,E9 ,20,21-Jun-2019 15:33:44.745680,Recycler
79,1C ,2,21-Jun-2019 15:33:44.811680,Booster
80,1C ,2,21-Jun-2019 15:33:44.878680,Booster
81,1D ,4,21-Jun-2019 15:33:44.945680,Booster
82,1D ,4,21-Jun-2019 15:33:45.011680,Booster
83,94 ,1,21-Jun-2019 15:33:45.011680,Accumulator
84,E9 ,20,21-Jun-2019 15:33:45.011680,Recycler
85,1C ,2,21-Jun-2019 15:33:45.078680,Booster
86,1C ,2,21-Jun-2019 15:33:45.145680,Booster
87,1D ,4,21-Jun-2019 15:33:45.211680,Booster
88,1D ,4,21-Jun-2019 15:33:45.278680,Booster
89,1D ,4,21-Jun-2019 15:33:45.345680,Booster
90,1D ,4,21-Jun-2019 15:33:45.411680,Booster
91,30 ,1,21-Jun-2019 15:33:45.411680,Accumulator
92,1D ,4,21-Jun-2019 15:33:45.478680,Booster
93,E2 ,5,21-Jun-2019 15:33:45.611680,Recycler
94,13 ,2,21-Jun-2019 15:33:45.678680,Booster
95,1D ,4,21-Jun-2019 15:33:45.745680,Booster
96,1D ,4,21-Jun-2019 15:33:45.811680,Booster
97,1D ,4,21-Jun-2019 15:33:45.878680,Booster
98,1D ,4,21-Jun-2019 15:33:45.945680,Booster
99,20 ,23,21-Jun-2019 15:33:46.011680,MI
100,12 ,1,21-Jun-2019 15:33:46.411680,Booster
101,1D ,4,21-Jun-2019 15:33:46.478680,Booster
102,1D ,4,21-Jun-2019 15:33:46.545680,Booster
103,1D ,4,21-Jun-2019 15:33:46.611680,Booster
104,12 ,1,21-Jun-2019 15:33:46.678680,Booster
105,1D ,4,21-Jun-2019 15:33:46.745680,Booster
106,1D ,4,21-Jun-2019 15:33:46.811680,Booster
107,1D ,4,21-Jun-2019 15:33:46.878680,Booster
108,1D ,4,21-Jun-2019 15:33:46.945680,Booster
