,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 15:06:14.187147,Booster
1,E3 ,6,21-Jun-2019 15:06:14.187147,Recycler
2,A5 ,2,21-Jun-2019 15:06:14.187147,NuMI
3,15 ,2,21-Jun-2019 15:06:14.253846,Booster
4,15 ,2,21-Jun-2019 15:06:14.320447,Booster
5,15 ,2,21-Jun-2019 15:06:14.387147,Booster
6,15 ,2,21-Jun-2019 15:06:14.453847,Booster
7,15 ,2,21-Jun-2019 15:06:14.520447,Booster
8,15 ,2,21-Jun-2019 15:06:14.587147,Booster
9,15 ,2,21-Jun-2019 15:06:14.653847,Booster
10,15 ,2,21-Jun-2019 15:06:14.720447,Booster
11,15 ,2,21-Jun-2019 15:06:14.787147,Booster
12,15 ,2,21-Jun-2019 15:06:14.853847,Booster
13,15 ,2,21-Jun-2019 15:06:14.920447,Booster
14,15 ,2,21-Jun-2019 15:06:14.987147,Booster
15,2A ,9,21-Jun-2019 15:06:14.987147,MI
16,AE ,2,21-Jun-2019 15:06:14.987147,NuMI
17,1D ,4,21-Jun-2019 15:06:15.053847,Booster
18,93 ,1,21-Jun-2019 15:06:15.053847,Accumulator
19,E9 ,20,21-Jun-2019 15:06:15.053847,Recycler
20,1C ,2,21-Jun-2019 15:06:15.120447,Booster
21,1C ,2,21-Jun-2019 15:06:15.187147,Booster
22,12 ,1,21-Jun-2019 15:06:15.254147,Booster
23,17 ,5,21-Jun-2019 15:06:15.320147,Booster
24,94 ,1,21-Jun-2019 15:06:15.320147,Accumulator
25,E9 ,20,21-Jun-2019 15:06:15.320147,Recycler
26,1C ,2,21-Jun-2019 15:06:15.387147,Booster
27,1C ,2,21-Jun-2019 15:06:15.454147,Booster
28,1D ,4,21-Jun-2019 15:06:15.520147,Booster
29,32 ,1,21-Jun-2019 15:06:15.520147,Switchyard
30,1D ,4,21-Jun-2019 15:06:15.587147,Booster
31,E3 ,6,21-Jun-2019 15:06:15.587147,Recycler
32,A5 ,2,21-Jun-2019 15:06:15.587147,NuMI
33,15 ,2,21-Jun-2019 15:06:15.654147,Booster
34,15 ,2,21-Jun-2019 15:06:15.720147,Booster
35,15 ,2,21-Jun-2019 15:06:15.787147,Booster
36,15 ,2,21-Jun-2019 15:06:15.854147,Booster
37,15 ,2,21-Jun-2019 15:06:15.920147,Booster
38,15 ,2,21-Jun-2019 15:06:15.987147,Booster
39,15 ,2,21-Jun-2019 15:06:16.054147,Booster
40,15 ,2,21-Jun-2019 15:06:16.120147,Booster
41,15 ,2,21-Jun-2019 15:06:16.187147,Booster
42,15 ,2,21-Jun-2019 15:06:16.254147,Booster
43,15 ,2,21-Jun-2019 15:06:16.320147,Booster
44,15 ,2,21-Jun-2019 15:06:16.387147,Booster
45,2A ,9,21-Jun-2019 15:06:16.387147,MI
46,AE ,2,21-Jun-2019 15:06:16.387147,NuMI
47,1D ,4,21-Jun-2019 15:06:16.454147,Booster
48,93 ,1,21-Jun-2019 15:06:16.454147,Accumulator
49,E9 ,20,21-Jun-2019 15:06:16.454147,Recycler
50,1C ,2,21-Jun-2019 15:06:16.520147,Booster
51,1C ,2,21-Jun-2019 15:06:16.587147,Booster
52,1D ,4,21-Jun-2019 15:06:16.654147,Booster
53,1D ,4,21-Jun-2019 15:06:16.720147,Booster
54,94 ,1,21-Jun-2019 15:06:16.720147,Accumulator
55,E9 ,20,21-Jun-2019 15:06:16.720147,Recycler
56,1C ,2,21-Jun-2019 15:06:16.787147,Booster
57,1C ,2,21-Jun-2019 15:06:16.854147,Booster
58,1D ,4,21-Jun-2019 15:06:16.920147,Booster
59,1D ,4,21-Jun-2019 15:06:16.987147,Booster
60,E3 ,6,21-Jun-2019 15:06:16.987147,Recycler
61,A5 ,2,21-Jun-2019 15:06:16.987147,NuMI
