,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 14:55:03.184634,Booster
1,E3 ,6,21-Jun-2019 14:55:03.184634,Recycler
2,A5 ,2,21-Jun-2019 14:55:03.184634,NuMI
3,15 ,2,21-Jun-2019 14:55:03.251333,Booster
4,15 ,2,21-Jun-2019 14:55:03.317934,Booster
5,15 ,2,21-Jun-2019 14:55:03.384634,Booster
6,15 ,2,21-Jun-2019 14:55:03.451334,Booster
7,15 ,2,21-Jun-2019 14:55:03.517934,Booster
8,15 ,2,21-Jun-2019 14:55:03.584634,Booster
9,15 ,2,21-Jun-2019 14:55:03.651334,Booster
10,15 ,2,21-Jun-2019 14:55:03.717934,Booster
11,15 ,2,21-Jun-2019 14:55:03.784634,Booster
12,15 ,2,21-Jun-2019 14:55:03.851334,Booster
13,15 ,2,21-Jun-2019 14:55:03.917934,Booster
14,15 ,2,21-Jun-2019 14:55:03.984634,Booster
15,2A ,9,21-Jun-2019 14:55:03.984634,MI
16,AE ,2,21-Jun-2019 14:55:03.984634,NuMI
17,1D ,4,21-Jun-2019 14:55:04.051334,Booster
18,93 ,1,21-Jun-2019 14:55:04.051334,Accumulator
19,E9 ,20,21-Jun-2019 14:55:04.051334,Recycler
20,1C ,2,21-Jun-2019 14:55:04.117934,Booster
21,1C ,2,21-Jun-2019 14:55:04.184634,Booster
22,12 ,1,21-Jun-2019 14:55:04.251634,Booster
23,17 ,5,21-Jun-2019 14:55:04.317634,Booster
24,94 ,1,21-Jun-2019 14:55:04.317634,Accumulator
25,E9 ,20,21-Jun-2019 14:55:04.317634,Recycler
26,1C ,2,21-Jun-2019 14:55:04.384634,Booster
27,1C ,2,21-Jun-2019 14:55:04.451634,Booster
28,1D ,4,21-Jun-2019 14:55:04.517634,Booster
29,32 ,1,21-Jun-2019 14:55:04.517634,Switchyard
30,1D ,4,21-Jun-2019 14:55:04.584634,Booster
31,E3 ,6,21-Jun-2019 14:55:04.584634,Recycler
32,A5 ,2,21-Jun-2019 14:55:04.584634,NuMI
33,15 ,2,21-Jun-2019 14:55:04.651634,Booster
34,15 ,2,21-Jun-2019 14:55:04.717634,Booster
35,15 ,2,21-Jun-2019 14:55:04.784634,Booster
36,15 ,2,21-Jun-2019 14:55:04.851634,Booster
37,15 ,2,21-Jun-2019 14:55:04.917634,Booster
38,15 ,2,21-Jun-2019 14:55:04.984634,Booster
39,15 ,2,21-Jun-2019 14:55:05.051634,Booster
40,15 ,2,21-Jun-2019 14:55:05.117634,Booster
41,15 ,2,21-Jun-2019 14:55:05.184634,Booster
42,15 ,2,21-Jun-2019 14:55:05.251634,Booster
43,15 ,2,21-Jun-2019 14:55:05.317634,Booster
44,15 ,2,21-Jun-2019 14:55:05.384634,Booster
45,2A ,9,21-Jun-2019 14:55:05.384634,MI
46,AE ,2,21-Jun-2019 14:55:05.384634,NuMI
47,1D ,4,21-Jun-2019 14:55:05.451634,Booster
48,93 ,1,21-Jun-2019 14:55:05.451634,Accumulator
49,E9 ,20,21-Jun-2019 14:55:05.451634,Recycler
50,1C ,2,21-Jun-2019 14:55:05.517634,Booster
51,1C ,2,21-Jun-2019 14:55:05.584634,Booster
52,1D ,4,21-Jun-2019 14:55:05.651634,Booster
53,1D ,4,21-Jun-2019 14:55:05.717634,Booster
54,94 ,1,21-Jun-2019 14:55:05.717634,Accumulator
55,E9 ,20,21-Jun-2019 14:55:05.717634,Recycler
56,1C ,2,21-Jun-2019 14:55:05.784634,Booster
57,1C ,2,21-Jun-2019 14:55:05.851634,Booster
58,1D ,4,21-Jun-2019 14:55:05.917634,Booster
59,1D ,4,21-Jun-2019 14:55:05.984634,Booster
60,E3 ,6,21-Jun-2019 14:55:05.984634,Recycler
61,A5 ,2,21-Jun-2019 14:55:05.984634,NuMI
62,15 ,2,21-Jun-2019 14:55:06.051634,Booster
63,15 ,2,21-Jun-2019 14:55:06.117634,Booster
64,15 ,2,21-Jun-2019 14:55:06.184634,Booster
65,15 ,2,21-Jun-2019 14:55:06.251634,Booster
66,15 ,2,21-Jun-2019 14:55:06.317634,Booster
67,15 ,2,21-Jun-2019 14:55:06.384634,Booster
68,15 ,2,21-Jun-2019 14:55:06.451634,Booster
69,15 ,2,21-Jun-2019 14:55:06.517634,Booster
70,15 ,2,21-Jun-2019 14:55:06.584634,Booster
71,15 ,2,21-Jun-2019 14:55:06.651634,Booster
72,15 ,2,21-Jun-2019 14:55:06.717634,Booster
73,15 ,2,21-Jun-2019 14:55:06.784634,Booster
74,2A ,9,21-Jun-2019 14:55:06.784634,MI
75,AE ,2,21-Jun-2019 14:55:06.784634,NuMI
76,1D ,4,21-Jun-2019 14:55:06.851634,Booster
77,93 ,1,21-Jun-2019 14:55:06.851634,Accumulator
78,E9 ,20,21-Jun-2019 14:55:06.851634,Recycler
79,1C ,2,21-Jun-2019 14:55:06.917634,Booster
80,1C ,2,21-Jun-2019 14:55:06.984634,Booster
81,1D ,4,21-Jun-2019 14:55:07.051634,Booster
82,1D ,4,21-Jun-2019 14:55:07.117634,Booster
83,94 ,1,21-Jun-2019 14:55:07.117634,Accumulator
84,E9 ,20,21-Jun-2019 14:55:07.117634,Recycler
85,1C ,2,21-Jun-2019 14:55:07.184634,Booster
86,1C ,2,21-Jun-2019 14:55:07.251634,Booster
87,1D ,4,21-Jun-2019 14:55:07.317634,Booster
88,1D ,4,21-Jun-2019 14:55:07.384634,Booster
89,1D ,4,21-Jun-2019 14:55:07.451634,Booster
90,1D ,4,21-Jun-2019 14:55:07.517634,Booster
91,30 ,1,21-Jun-2019 14:55:07.517634,Accumulator
92,1D ,4,21-Jun-2019 14:55:07.584634,Booster
93,E2 ,5,21-Jun-2019 14:55:07.717634,Recycler
94,13 ,2,21-Jun-2019 14:55:07.784634,Booster
95,1D ,4,21-Jun-2019 14:55:07.851634,Booster
96,1D ,4,21-Jun-2019 14:55:07.917634,Booster
97,1D ,4,21-Jun-2019 14:55:07.984634,Booster
98,1D ,4,21-Jun-2019 14:55:08.051634,Booster
99,20 ,23,21-Jun-2019 14:55:08.117634,MI
100,12 ,1,21-Jun-2019 14:55:08.517634,Booster
101,1D ,4,21-Jun-2019 14:55:08.584634,Booster
102,1D ,4,21-Jun-2019 14:55:08.651634,Booster
103,1D ,4,21-Jun-2019 14:55:08.717634,Booster
104,12 ,1,21-Jun-2019 14:55:08.784634,Booster
105,1D ,4,21-Jun-2019 14:55:08.851634,Booster
106,1D ,4,21-Jun-2019 14:55:08.917634,Booster
107,1D ,4,21-Jun-2019 14:55:08.984634,Booster
108,1D ,4,21-Jun-2019 14:55:09.051634,Booster
109,1D ,4,21-Jun-2019 14:55:09.117634,Booster
110,E0 ,2,21-Jun-2019 14:55:10.184634,Recycler
111,19 ,2,21-Jun-2019 14:55:10.251634,Booster
112,1D ,4,21-Jun-2019 14:55:10.317634,Booster
113,1D ,4,21-Jun-2019 14:55:10.384634,Booster
114,1D ,4,21-Jun-2019 14:55:10.451634,Booster
115,1D ,4,21-Jun-2019 14:55:10.517634,Booster
116,12 ,1,21-Jun-2019 14:55:10.984634,Booster
117,1D ,4,21-Jun-2019 14:55:11.051634,Booster
118,1D ,4,21-Jun-2019 14:55:11.117634,Booster
119,1D ,4,21-Jun-2019 14:55:11.184634,Booster
120,1D ,4,21-Jun-2019 14:55:11.251634,Booster
121,1D ,4,21-Jun-2019 14:55:11.317634,Booster
122,12 ,1,21-Jun-2019 14:55:11.451634,Booster
123,1D ,4,21-Jun-2019 14:55:11.517634,Booster
124,1D ,4,21-Jun-2019 14:55:11.584634,Booster
125,1D ,4,21-Jun-2019 14:55:11.651634,Booster
126,1D ,4,21-Jun-2019 14:55:11.717634,Booster
127,1D ,4,21-Jun-2019 14:55:11.784634,Booster
128,12 ,1,21-Jun-2019 14:55:12.184634,Booster
129,1D ,4,21-Jun-2019 14:55:12.251634,Booster
130,1D ,4,21-Jun-2019 14:55:12.317634,Booster
131,1D ,4,21-Jun-2019 14:55:12.384634,Booster
132,1D ,4,21-Jun-2019 14:55:12.451634,Booster
133,1D ,4,21-Jun-2019 14:55:12.517634,Booster
134,1D ,4,21-Jun-2019 14:55:12.584634,Booster
135,1D ,4,21-Jun-2019 14:55:12.651634,Booster
136,1D ,4,21-Jun-2019 14:55:12.717634,Booster
137,E3 ,6,21-Jun-2019 14:55:12.851634,Recycler
138,A5 ,2,21-Jun-2019 14:55:12.851634,NuMI
139,15 ,2,21-Jun-2019 14:55:12.917634,Booster
140,15 ,2,21-Jun-2019 14:55:12.984634,Booster
141,15 ,2,21-Jun-2019 14:55:13.051634,Booster
142,15 ,2,21-Jun-2019 14:55:13.117634,Booster
143,15 ,2,21-Jun-2019 14:55:13.184634,Booster
144,15 ,2,21-Jun-2019 14:55:13.254634,Booster
145,15 ,2,21-Jun-2019 14:55:13.314634,Booster
146,15 ,2,21-Jun-2019 14:55:13.384634,Booster
147,15 ,2,21-Jun-2019 14:55:13.454634,Booster
148,15 ,2,21-Jun-2019 14:55:13.514634,Booster
149,15 ,2,21-Jun-2019 14:55:13.584634,Booster
150,15 ,2,21-Jun-2019 14:55:13.654634,Booster
151,2A ,9,21-Jun-2019 14:55:13.654634,MI
152,AE ,2,21-Jun-2019 14:55:13.654634,NuMI
153,1D ,4,21-Jun-2019 14:55:13.714634,Booster
154,1D ,4,21-Jun-2019 14:55:13.784634,Booster
155,1D ,4,21-Jun-2019 14:55:13.854634,Booster
156,1D ,4,21-Jun-2019 14:55:13.914634,Booster
157,1D ,4,21-Jun-2019 14:55:13.984634,Booster
158,1D ,4,21-Jun-2019 14:55:14.054634,Booster
159,1D ,4,21-Jun-2019 14:55:14.114634,Booster
160,1D ,4,21-Jun-2019 14:55:14.184634,Booster
161,1D ,4,21-Jun-2019 14:55:14.254634,Booster
162,E3 ,6,21-Jun-2019 14:55:14.254634,Recycler
163,A5 ,2,21-Jun-2019 14:55:14.254634,NuMI
164,15 ,2,21-Jun-2019 14:55:14.314634,Booster
165,15 ,2,21-Jun-2019 14:55:14.384634,Booster
166,15 ,2,21-Jun-2019 14:55:14.454634,Booster
167,15 ,2,21-Jun-2019 14:55:14.514634,Booster
168,15 ,2,21-Jun-2019 14:55:14.584634,Booster
169,15 ,2,21-Jun-2019 14:55:14.654634,Booster
170,15 ,2,21-Jun-2019 14:55:14.714634,Booster
171,15 ,2,21-Jun-2019 14:55:14.784634,Booster
172,15 ,2,21-Jun-2019 14:55:14.854634,Booster
173,15 ,2,21-Jun-2019 14:55:14.914634,Booster
174,15 ,2,21-Jun-2019 14:55:14.984634,Booster
175,15 ,2,21-Jun-2019 14:55:15.054634,Booster
176,2A ,9,21-Jun-2019 14:55:15.054634,MI
177,AE ,2,21-Jun-2019 14:55:15.054634,NuMI
178,12 ,1,21-Jun-2019 14:55:15.114634,Booster
179,17 ,5,21-Jun-2019 14:55:15.184634,Booster
180,1D ,4,21-Jun-2019 14:55:15.254634,Booster
181,1D ,4,21-Jun-2019 14:55:15.314634,Booster
182,1D ,4,21-Jun-2019 14:55:15.384634,Booster
183,1D ,4,21-Jun-2019 14:55:15.454634,Booster
184,1D ,4,21-Jun-2019 14:55:15.514634,Booster
185,1D ,4,21-Jun-2019 14:55:15.584634,Booster
186,1D ,4,21-Jun-2019 14:55:15.654634,Booster
187,E3 ,6,21-Jun-2019 14:55:15.654634,Recycler
188,A5 ,2,21-Jun-2019 14:55:15.654634,NuMI
189,15 ,2,21-Jun-2019 14:55:15.714634,Booster
190,15 ,2,21-Jun-2019 14:55:15.784634,Booster
191,15 ,2,21-Jun-2019 14:55:15.854634,Booster
192,15 ,2,21-Jun-2019 14:55:15.914634,Booster
193,15 ,2,21-Jun-2019 14:55:15.984634,Booster
194,15 ,2,21-Jun-2019 14:55:16.054634,Booster
195,15 ,2,21-Jun-2019 14:55:16.114634,Booster
196,15 ,2,21-Jun-2019 14:55:16.184634,Booster
197,15 ,2,21-Jun-2019 14:55:16.254634,Booster
198,15 ,2,21-Jun-2019 14:55:16.314634,Booster
199,15 ,2,21-Jun-2019 14:55:16.384634,Booster
200,15 ,2,21-Jun-2019 14:55:16.454634,Booster
201,2A ,9,21-Jun-2019 14:55:16.454634,MI
202,AE ,2,21-Jun-2019 14:55:16.454634,NuMI
203,1D ,4,21-Jun-2019 14:55:16.514634,Booster
204,1D ,4,21-Jun-2019 14:55:16.584634,Booster
205,1D ,4,21-Jun-2019 14:55:16.654634,Booster
206,1D ,4,21-Jun-2019 14:55:16.714634,Booster
207,1D ,4,21-Jun-2019 14:55:16.784634,Booster
208,1D ,4,21-Jun-2019 14:55:16.854634,Booster
209,1D ,4,21-Jun-2019 14:55:16.914634,Booster
210,1D ,4,21-Jun-2019 14:55:16.984634,Booster
211,1D ,4,21-Jun-2019 14:55:17.054634,Booster
212,E3 ,6,21-Jun-2019 14:55:17.054634,Recycler
213,A5 ,2,21-Jun-2019 14:55:17.054634,NuMI
214,15 ,2,21-Jun-2019 14:55:17.114634,Booster
215,15 ,2,21-Jun-2019 14:55:17.184634,Booster
216,15 ,2,21-Jun-2019 14:55:17.254634,Booster
217,15 ,2,21-Jun-2019 14:55:17.314634,Booster
218,15 ,2,21-Jun-2019 14:55:17.384634,Booster
